恒大世纪广场  精装修   看房方便  业主诚心出售,恒大世纪广场,西客站,3室1厅 ,109.0, 南 北 , 精装 ,27, 板楼,2,11,1550000.0,"14,221元/平",VR看装修 随时看房 
中间楼层，边户南北通透，房东诚心出售,剑桥府邸,腊山,4室2厅 ,158.03, 南 北 , 其他 ,31, 板楼,0,31,2280000.0,"14,428元/平",近地铁 VR看装修 房本满两年 
视野好，采光好，诚心出售，满五,新沙居民小区,美里湖,3室1厅 ,92.0, 南 , 其他 ,7, 板楼,2,19,920000.0,"10,000元/平",VR看装修 房本满五年 
经十路高档社区，户型方正，南北通透,财富壹号,段店,3室2厅 ,105.14, 南 北 , 精装 ,31, 板楼,3,29,2000000.0,"19,023元/平",VR看装修 房本满两年 
百万精装修舒适三居室、楼前无遮挡、美景一览无余,蓝石大溪地,经十西路,4室2厅 ,195.0, 南 北 , 精装 ,6, 板楼,1,29,3000000.0,"15,385元/平",VR房源 房本满两年 
店长推荐印象济南旁精装房诚意出售，楼层好，采光好,中建锦绣蘭庭,西客站,3室2厅 ,105.82, 南 , 其他 ,33, 板楼,5,19,1580000.0,"14,932元/平",VR看装修 房本满两年 
天井小区，二环内，交通便利，采光好，有大院，楼层好,段店东街180号,段店,3室2厅 ,115.73, 南 北 , 简装 ,6, 板楼,0,21,1650000.0,"14,258元/平",VR看装修 房本满五年 
绿地花都 三室两厅  精装修 高楼层,绿地国际花都,腊山,3室2厅 ,108.22, 南 北 , 精装 ,33, 板楼,3,27,1450000.0,"13,399元/平",近地铁 VR看装修 房本满五年 
万科公园里 小高层 阳台外是森林公园 万科物业 精装修,万科公园里,匡山区,3室2厅 ,149.53, 南 北 , 精装 ,18, 板楼,2,18,3550000.0,"23,742元/平",VR看装修 房本满两年 
腊山公园，南北通透，三居室，中间楼层,明星小区南区,腊山,3室2厅 ,102.21, 南 北 , 简装 ,6, 板楼,5,24,1199000.0,"11,731元/平",近地铁 VR看装修 房本满五年 
槐荫街36号五院北院南面，带院40平和地下室，上营东,槐荫街36号,营市街,2室2厅 ,109.67, 南 , 其他 ,6, 板楼,3,26,1800000.0,"16,413元/平",VR房源 房本满五年 
绿地泉景嘉园 3室2厅 南 北,绿地泉景嘉园,腊山,3室2厅 ,112.32, 南 北 , 其他 ,25, 板楼,0,29,1450000.0,"12,910元/平",VR看装修 房本满两年 
裕园小区 3室2厅 南 北,裕园小区,西市场,3室2厅 ,118.9, 南 北 , 其他 ,7, 板楼,0,29,1290000.0,"10,850元/平",VR看装修 房本满五年 
"急售！一楼有院,印象济南、弘阳广场东临，出行便利！",海亮艺术华府,西客站,3室1厅 ,107.23, 南 北 , 简装 ,26, 板楼,12,22,1330000.0,"12,404元/平",VR看装修 房本满两年 
恒大精装修大三居！中间楼层采光充足!,恒大雅苑,西客站,3室2厅 ,141.99, 南 北 , 精装 ,31, 板楼,2,30,1910000.0,"13,452元/平",近地铁 VR房源 房本满两年 
恒生望山 3室2厅 南 北,恒生望山,匡山区,3室2厅 ,96.21, 南 北 , 其他 ,26, 板楼,1,18,1480000.0,"15,384元/平",VR看装修 房本满五年 
鑫苑世家三室诚意出售，采光好  ，楼层好,鑫苑世家公馆,西客站,3室2厅 ,91.86, 南 , 简装 ,33, 板楼,2,29,1600000.0,"17,418元/平",VR看装修 房本满两年 
金科城  两卫户型 采光充足  有地下室,金科城,西客站,3室2厅 ,116.53, 南 , 其他 ,33, 板楼,3,18,1540000.0,"13,216元/平",VR看装修 房本满五年 
花都  精装修的三室  南北通透的户型,绿地国际花都,腊山,3室2厅 ,103.76, 南 北 , 精装 ,27, 板楼,3,23,1420000.0,"13,686元/平",近地铁 VR看装修 房本满两年 
印象济南三馆，梦世界花园，小高层，公摊小得房率高！,梦世界华园,世购,3室2厅 ,134.28, 南 北 , 精装 ,18, 板楼,4,22,1950000.0,"14,522元/平",VR看装修 房本满两年 
和谐广场南 阳光100G区 产权清晰 采光好,阳光100国际新城G区,阳光100区,2室2厅 ,93.33, 西北 , 简装 ,28, 板塔结合,1,28,1400000.0,"15,001元/平",VR看装修 房本满两年 随时看房 
阳光100三期两居室+总价低+户型方正+业主诚心出售,阳光100国际新城G区,阳光100区,2室1厅 ,67.53, 北 , 精装 ,26, 板塔结合,10, 1个月以前发布,910000.0,"13,476元/平",VR看装修 房本满五年 随时看房 
南向小户型 诚意出售 阳光100三期 视野采光棒！,阳光100国际新城G区,阳光100区,1室1厅 ,59.15, 西 , 简装 ,28, 板塔结合,1,21,1380000.0,"23,331元/平",VR看装修 房本满五年 随时看房 
西城济水上苑 2室2厅 南,西城济水上苑,西客站,2室2厅 ,92.94, 南 , 毛坯 ,30, 板楼,2,25,1140000.0,"12,266元/平",近地铁 VR房源 房本满两年 随时看房 
精装复式，大楼台！诚心出售 ，随时看房！,外海西子城市花园,匡山区,5室2厅 ,165.24, 南 北 , 精装 ,6, 板楼,5, 一年前发布,2100000.0,"12,709元/平",VR房源 房本满两年 
匡山小区  3室边户  好楼层  带储藏室,匡山小区,匡山区,3室2厅 ,100.39, 南 北 , 简装 ,6, 板楼,8, 6个月以前发布,1280000.0,"12,751元/平",VR看装修 房本满五年 随时看房 
经十路世购旁 经十路 剑桥府 南北通透  交通便利,剑桥府邸,腊山,3室2厅 ,127.55, 南 北 , 简装 ,30, 板楼,17, 一年前发布,1560000.0,"12,231元/平",近地铁 VR看装修 房本满五年 随时看房 
花都精装4室 高楼层 采光充足 无遮挡 房产证满2年,绿地国际花都,腊山,4室2厅 ,135.28, 南 北 , 简装 ,31, 板楼,6, 5个月以前发布,1900000.0,"14,045元/平",近地铁 VR看装修 房本满五年 随时看房 
鑫苑世家公馆，户型方正好楼层，通透性好，证满两年,鑫苑世家公馆,西客站,3室2厅 ,91.31, 南 北 , 简装 ,29, 板楼,18, 一年前发布,1480000.0,"16,209元/平",VR看装修 房本满两年 随时看房 
满两年，通透格局，视野宽阔，配套设施齐全,西城济水上苑,西客站,3室2厅 ,142.0, 南 北 , 毛坯 ,18, 板楼,13, 一年前发布,1800000.0,"12,677元/平",VR看装修 房本满两年 随时看房 
好户型  好楼层   不看会后悔的房子~,西城济水上苑,西客站,3室1厅 ,116.19, 南 北 , 精装 ,33, 板楼,36, 一年前发布,1500000.0,"12,910元/平",近地铁 VR看装修 房本满两年 随时看房 
阳光100K区 正规三室两厅 免高税 有钥匙 随时看房,阳光100国际新城K区,阳光100区,3室2厅 ,109.02, 南 北 , 简装 ,33, 板塔结合,66, 一年前发布,1880000.0,"17,245元/平",VR看装修 房本满两年 随时看房 
加装电梯，2001年房龄，不是顶楼，两室朝阳,槐村街7到9号,中大槐树,2室2厅 ,75.93, 南 , 简装 ,6, 板楼,12, 8个月以前发布,1050000.0,"13,829元/平",VR看装修 房本满五年 随时看房 
户型方正精装修，满两年免高税，前无遮挡，看房有钥匙,恒大翡翠华庭,西客站,3室2厅 ,125.89, 南 北 , 精装 ,26, 板楼,18, 9个月以前发布,1860000.0,"14,775元/平",VR看装修 房本满两年 随时看房 
美里新居满五唯一配套齐全采光好,美里新居,美里湖,3室2厅 ,100.62, 南 北 , 简装 ,7, 板楼,13, 一年前发布,980000.0,"9,740元/平",VR看装修 房本满五年 随时看房 
小区邻印象济南 通透户型 视野开阔无遮挡证满两年,海亮艺术华府,西客站,3室2厅 ,118.68, 南 北 , 精装 ,33, 板楼,9, 5个月以前发布,1800000.0,"15,167元/平",VR看装修 房本满两年 随时看房 
精装修 单价低  复式   适合一大家子居住,玉景家园,南辛庄,4室2厅 ,132.3, 南 北 , 精装 ,7, 板楼,5, 一年前发布,2010000.0,"15,193元/平",VR房源 房本满五年 随时看房 
标准两室，卧室空间大，中间楼层，诚心出售,匡山小区,匡山区,2室1厅 ,73.46, 南 北 , 简装 ,5, 板楼,6, 一年前发布,850000.0,"11,571元/平",近地铁 VR看装修 房本满五年 随时看房 
济南市槐荫区匡山小区简装二居室出售中,匡山小区,匡山区,2室2厅 ,56.88, 南 , 简装 ,6, 板楼,6, 一年前发布,700000.0,"12,307元/平",VR看装修 房本满两年 随时看房 
蓝石大溪地 大三室 主卧套房设计 户型方正 无高税,蓝石大溪地,经十西路,3室2厅 ,161.73, 东南 南 , 毛坯 ,18, 板楼,12, 3个月以前发布,1900000.0,"11,748元/平",VR看装修 房本满两年 随时看房 
出国急售 蓝石大溪地花园洋房电梯入户车位地下室,蓝石大溪地,经十西路,3室2厅 ,155.47, 南 北 , 简装 ,6, 板楼,3, 11个月以前发布,2280000.0,"14,666元/平",VR看装修 房本满五年 随时看房 
房子是满两年的，没有高税，户型方正，低于市场价,蓝石大溪地,经十西路,3室2厅 ,148.53, 南 北 , 毛坯 ,18, 板楼,0, 3个月以前发布,1780000.0,"11,985元/平",VR看装修 房本满两年 随时看房 
西客站中建锦绣城印象济南三馆三居室,中建锦绣城,西客站,3室2厅 ,118.74, 南 北 , 精装 ,27, 板楼,2, 2个月以前发布,1650000.0,"13,896元/平",VR看装修 房本满五年 随时看房 
东南向三室两厅，出行方便，公摊小，有地下室,阳光100国际新城B区,阳光100区,3室2厅 ,138.12, 东南 , 简装 ,18, 塔楼,56, 一年前发布,2250000.0,"16,291元/平",VR看装修 房本满两年 
中建锦绣城 三室两厅两卫 中间楼层 带车位 户型方正,中建锦绣城,西客站,3室2厅 ,141.75, 南 , 毛坯 ,33, 板楼,26, 一年前发布,2000000.0,"14,110元/平",近地铁 VR看装修 房本满两年 随时看房 
省立医院三宿舍 经五路 正规两居室,省立医院三宿舍,省立医院,2室1厅 ,62.68, 南 北 , 简装 ,6, 板楼,22, 一年前发布,1060000.0,"16,912元/平",VR看装修 房本满五年 随时看房 
大院好停车三室居住体验好南北通透有电梯,东红庙北路11号,段店,3室2厅 ,128.96, 南 北 , 简装 ,6, 板楼,9, 一年前发布,1320000.0,"10,236元/平",VR看装修 房本满两年 随时看房 
边户南北通透 地铁大杨站 位置好 满两年,金科城,西客站,3室2厅 ,101.04, 南 北 , 精装 ,32, 板楼,3, 5个月以前发布,1425000.0,"14,104元/平",VR看装修 房本满两年 随时看房 
双气、房主诚心卖、采光好，交利通便利,营市西街,营市街,2室2厅 ,78.44, 南 北 , 简装 ,5, 板楼,22, 一年前发布,940000.0,"11,984元/平",VR看装修 房本满两年 随时看房 
一期小高层洋房，楼层好，人车分流，舒适安静小三室,阳光100国际新城A区,阳光100区,3室2厅 ,107.81, 东北 , 精装 ,9, 板塔结合,33, 一年前发布,1690000.0,"15,676元/平",VR看装修 房本满五年 随时看房 
中间楼层三室 满五唯一  正常首付,绿地国际花都,腊山,3室2厅 ,108.73, 南 , 简装 ,31, 板楼,12, 8个月以前发布,1350000.0,"12,417元/平",近地铁 VR看装修 房本满五年 随时看房 
房龄新 封闭式小区 人车分流 精装采光充足三室,金科城,西客站,3室1厅 ,102.67, 南 北 , 精装 ,33, 板楼,20, 8个月以前发布,1320000.0,"12,857元/平",近地铁 VR看装修 房本满两年 随时看房 
房产证满2年 精装修 配套完善  交通便利,绿地国际花都,腊山,3室2厅 ,104.92, 南 北 , 精装 ,29, 板楼,32, 5个月以前发布,1390000.0,"13,249元/平",近地铁 VR看装修 房本满两年 随时看房 
楼层好 视野宽阔 全明户型 南北通透 东头东户,恒大翡翠华庭,西客站,4室2厅 ,177.85, 南 北 , 精装 ,30, 板楼,1, 一年前发布,2800000.0,"15,744元/平",VR看装修 房本满两年 随时看房 
西客站三馆旁 中式园林小区  精装大三居 中间楼层,梦世界润园,世购,3室2厅 ,110.86, 南 北 , 精装 ,34, 板楼,20, 5个月以前发布,1610000.0,"14,523元/平",VR看装修 房本满两年 随时看房 
此楼四面不临街，证满两年免高税，精装修南北通透，,中建锦绣城,西客站,3室2厅 ,134.07, 南 北 , 精装 ,33, 板楼,2, 10个月以前发布,2200000.0,"16,410元/平",近地铁 VR看装修 房本满两年 随时看房 
泉景嘉园 三室 低楼层 出行便利 满两年,绿地泉景嘉园,腊山,3室2厅 ,112.83, 南 北 , 简装 ,33, 板楼,87, 10个月以前发布,1200000.0,"10,636元/平",VR看装修 房本满两年 随时看房 
金科城三居，精装，户型方正好用，证满二，有产权车位,金科城,西客站,3室2厅 ,120.68, 南 北 , 精装 ,32, 板楼,32, 3个月以前发布,1530000.0,"12,679元/平",VR看装修 房本满五年 随时看房 
西市场旁、采光刺眼、全屋精装、证满两年、有地下室、,保利中心一区,西市场,2室2厅 ,86.2, 南 , 精装 ,34, 板楼,7, 5个月以前发布,1580000.0,"18,330元/平",VR看装修 房本满两年 随时看房 
全新毛坯房，一次未住过 采光好视野好,蓝石大溪地,经十西路,3室2厅 ,129.34, 南 北 , 毛坯 ,18, 板楼,8, 10个月以前发布,1420000.0,"10,979元/平",VR看装修 房本满两年 随时看房 
成熟社区生活方便花园小区环境优美,绿地国际花都,腊山,3室2厅 ,104.6, 南 北 , 精装 ,18, 板楼,12, 8个月以前发布,1295000.0,"12,381元/平",近地铁 VR看装修 房本满五年 随时看房 
明星小区北区，户型方正，生活成本低,明星小区北区,腊山,2室1厅 ,73.96, 南 , 简装 ,6, 板楼,0, 1个月以前发布,932000.0,"12,602元/平",VR看装修 房本满五年 随时看房 
新世界阳光花园东区 南北通透两室两厅 准备加装电梯,新世界阳光花园东区,和谐广场,3室1厅 ,128.62, 南 北 , 简装 ,6, 板楼,7,21,2580000.0,"20,060元/平",VR房源 房本满五年 随时看房 
舜承苑西区 3室1厅 南 北,舜承苑西区,南辛庄,3室1厅 ,83.75, 南 北 , 其他 ,4, 板楼,3, 1个月以前发布,860000.0,"10,269元/平",VR看装修 房本满两年 随时看房 
满五年 低楼层 公摊小，出行便利，社区成熟。,明星小区北区,腊山,2室2厅 ,103.43, 南 北 , 其他 ,6, 板楼,0,31,1190000.0,"11,506元/平",近地铁 VR看装修 房本满五年 随时看房 
两室朝阳  电梯房  采光好  有地下室,泉城花园,匡山区,2室1厅 ,86.79, 南 , 毛坯 ,16, 板楼,11,30,1060000.0,"12,214元/平",VR看装修 房本满五年 随时看房 
西市场 市立五院 双气 精装修 中间楼层,槐村街7到9号,中大槐树,2室1厅 ,65.8, 南 北 , 精装 ,6, 板楼,1,22,850000.0,"12,918元/平",VR看装修 房本满五年 随时看房 
凯旋新城 免高税，简单装修，南北通风好，诚心卖,凯旋新城西区,南辛庄,1室1厅 ,71.61, 南 , 其他 ,26, 板楼,0,25,1220000.0,"17,037元/平",VR房源 房本满五年 随时看房 
满两年， 户型方正，中间楼层 采光无遮挡 视野开阔,恒大雅苑,西客站,3室1厅 ,95.96, 南 北 , 简装 ,26, 板楼,7,22,1330000.0,"13,860元/平",近地铁 VR看装修 房本满两年 随时看房 
二环内，成熟商圈，苗圃公园，配套全，采光好,卉苑小区,段店,2室2厅 ,92.91, 南 北 , 简装 ,6, 板楼,5,17,1130000.0,"12,163元/平",VR看装修 房本满两年 随时看房 
金科城  三地铁站  经十路  中间楼层  看房随时,金科城,西客站,2室1厅 ,84.4, 南 北 , 精装 ,32, 板楼,23,29,1220000.0,"14,455元/平",VR看装修 房本满两年 随时看房 
营市西街 两室两厅 南北通透采光好 交通便利 精装修,营市西街,营市街,2室2厅 ,101.11, 南 北 , 精装 ,6, 板楼,3,16,1220000.0,"12,067元/平",VR看装修 房本满五年 随时看房 
钥匙房！舜承苑一楼带院，双气，实用面积大,舜承苑,南辛庄,3室1厅 ,60.46, 南 北 , 其他 ,5, 板楼,7,21,1020000.0,"16,871元/平",VR房源 房本满五年 随时看房 
此房精装修，采光充足、视野宽广、配套齐全,保利中心华府,西市场,3室2厅 ,130.12, 南 北 , 其他 ,17, 板楼,0,19,2530000.0,"19,444元/平",VR看装修 房本满两年 随时看房 
大尧风华盛景 3室1厅 南,大尧风华盛景,西客站,3室1厅 ,113.81, 南 , 精装 ,23, 板楼,6,26,1500000.0,"13,180元/平",近地铁 VR看装修 房本满两年 随时看房 
经十路上金科城、经典三居室、双卧朝阳、南北通透,金科城,西客站,3室1厅 ,104.46, 南 北 , 简装 ,34, 板楼,1,22,1500000.0,"14,360元/平",VR看装修 房本满五年 随时看房 
一楼，带小院南北 通透!双气有钥匙！,匡山小区,匡山区,2室1厅 ,72.83, 南 , 其他 ,5, 板楼,0,18,880000.0,"12,083元/平",近地铁 VR房源 房本满五年 随时看房 
印象济南 弘阳广场 成熟社区，低楼层采光不影响,中建锦绣城,西客站,3室2厅 ,135.0, 南 北 , 简装 ,26, 板楼,0,7,2400000.0,"17,778元/平",近地铁 VR看装修 
西客站南北通透边户低楼层出行方便,绿地国际花都,腊山,3室1厅 ,103.58, 南 北 , 简装 ,33, 板楼,1,7,1380000.0,"13,324元/平",近地铁 VR房源 
金科城四室 精装 格局合理好利用 有2个车位有地下室,金科城,西客站,4室2厅 ,140.71, 南 北 , 精装 ,34, 板楼,0,5,2200000.0,"15,635元/平",VR看装修 
恒大御峰 3室1厅 南 北,恒大御峰,西客站,3室1厅 ,126.8, 南 北 , 精装 ,32, 板楼,1,3,1890000.0,"14,906元/平",VR房源 
业主诚意出售，凤凰层，采光好可以随时看房,恒大金碧新城,西客站,3室1厅 ,119.9, 南 , 精装 ,30, 板楼,0,4,1650000.0,"13,762元/平",VR看装修 
中建锦绣城 3室2厅 南 北,中建锦绣城,西客站,3室2厅 ,125.52, 南 北 , 精装 ,33, 板楼,1,1,1850000.0,"14,739元/平",近地铁 VR房源 
恒大雅苑 3室1厅 南,恒大雅苑,西客站,3室1厅 ,135.1, 南 , 精装 ,29, 板楼,0,5,1900000.0,"14,064元/平",近地铁 VR看装修 
恒大雅苑 精装三室，正满两年，家门口就是學校，地铁,恒大雅苑,西客站,3室2厅 ,116.93, 南 , 精装 ,33, 板楼,0,2,1650000.0,"14,112元/平",近地铁 VR看装修 
经十西路消防局宿舍 2室1厅 南 北,经十西路消防局宿舍,世购,2室1厅 ,94.85, 南 北 , 其他 ,11, 板楼,0,11,1420000.0,"14,972元/平",近地铁 VR看装修 房本满两年 
西客站南向两居   户型方正出行便利   视野开阔,绿地中央广场三区,西客站,2室2厅 ,92.8, 南 , 精装 ,31, 板楼,2,10,1180000.0,"12,716元/平",近地铁 VR看装修 房本满两年 
裕园小区 1室1厅 南,裕园小区,西市场,1室1厅 ,44.06, 南 , 其他 ,7, 板楼,1,3,520000.0,"11,803元/平",VR看装修 房本满两年 
营市西街2室朝阳南北通风好上营东带小房,营市西街,营市街,3室2厅 ,86.05, 南 , 其他 ,6, 板楼,0,10,1250000.0,"14,527元/平",VR看装修 房本满五年 
德裕家园一区 2室1厅 南,德裕家园一区,西市场,2室1厅 ,63.72, 南 , 精装 ,30, 塔楼,1,3,980000.0,"15,380元/平",VR看装修 房本满五年 
急售！高档改善品质社区，楼层好舒适，出行、生活方便,绿地新里香榭丽公馆,西客站,2室2厅 ,90.4, 南 北 , 精装 ,32, 板楼,1,9,1280000.0,"14,160元/平",VR看装修 房本满两年 
西客站大三居  南北通透  交通便利  视野宽阔,绿地中央广场四区,西客站,3室2厅 ,136.59, 南 北 , 简装 ,25, 板楼,0,15,1850000.0,"13,545元/平",近地铁 VR看装修 房本满两年 
宽敞4居室路劲御景城！绿化40%！有车位,路劲御景城,中大槐树,4室2厅 ,162.08, 南 北 , 其他 ,22, 板楼,1,13,3100000.0,"19,127元/平",近地铁 VR看装修 房本满两年 
济南儿童医院南 南北通透 双气 有地下室 楼层好,玉景家园,南辛庄,2室2厅 ,86.62, 南 北 , 其他 ,6, 板塔结合,0,6,1300000.0,"15,009元/平",VR看装修 房本满五年 
绿园小区 两室一厅 低楼层 双气 停车方便 大院传达,绿园小区,南辛庄,2室1厅 ,74.6, 南 北 , 其他 ,4, 板楼,2,15,1230000.0,"16,488元/平",VR看装修 房本满五年 
封闭式花园小区+精装+拎包入住+随时看房,金羚嘉和馨园,南辛庄,2室2厅 ,92.0, 南 北 , 精装 ,6, 板楼,3,12,1720000.0,"18,696元/平",VR看装修 房本满五年 
经三纬九 好楼层 两室一厅双气 南北通透 采光好！,诚心苑,西市场,2室1厅 ,67.88, 南 北 , 简装 ,6, 板楼,1,2,900000.0,"13,259元/平",VR房源 房本满五年 
温馨全明户型，南向采光，看房方便，配套齐全，诚心卖,鑫苑世家公馆,西客站,3室2厅 ,96.31, 南 北 , 精装 ,29, 板楼,2,8,1580000.0,"16,406元/平",VR看装修 房本满两年 
中间楼层，南北  通透，全明户型！诚心出售！满五唯一,老屯铁路小区,匡山区,2室1厅 ,68.02, 南 北 , 其他 ,6, 板楼,1,11,720000.0,"10,586元/平",VR看装修 房本满五年 
中建锦绣城 3室1厅 南,中建锦绣城,西客站,3室1厅 ,134.79, 南 , 其他 ,32, 板楼,0,9,1800000.0,"13,355元/平",VR看装修 房本满两年 
怡心苑 3室1厅 南 北,怡心苑,阳光100区,3室1厅 ,150.35, 南 北 , 其他 ,13, 板楼,2,12,2556000.0,"17,001元/平",VR房源 房本满五年 
经六路，卉苑小区，园林局宿舍，中层，有地下室，双气,卉苑小区,段店,2室1厅 ,84.23, 南 北 , 其他 ,6, 板楼,1,3,1050000.0,"12,466元/平",VR看装修 房本满两年 
绿地国际花都 2室2厅 南 北,绿地国际花都,腊山,2室2厅 ,86.92, 南 北 , 其他 ,32, 板楼,0,7,1180000.0,"13,576元/平",近地铁 VR看装修 房本满两年 
泉城花园 2室2厅 南,泉城花园,匡山区,2室2厅 ,106.92, 南 , 简装 ,12, 板楼,0,8,1500000.0,"14,030元/平",VR看装修 房本满五年 
美里新居，一梯三中户，带产权地下室。诚心出可谈,美里新居,美里湖,2室1厅 ,60.18, 南 , 其他 ,7, 板楼,0,14,710000.0,"11,798元/平",VR房源 房本满五年 
汇馨祥和苑 双气 低楼层 出行便利 成熟社区,汇馨祥和苑,匡山区,1室1厅 ,41.98, 南 , 其他 ,7, 塔楼,2,3,500000.0,"11,911元/平",VR看装修 房本满五年 
中建锦绣城 3室1厅 南,中建锦绣城,西客站,3室1厅 ,108.05, 南 , 简装 ,26, 板楼,0,26,1750000.0,"16,197元/平",近地铁 VR房源 随时看房 
好户型 龙湖花园式社区 物业好 位于印象济南北,龙湖水晶郦城,西客站,3室1厅 ,97.0, 南 , 简装 ,33, 板楼,16,26,1500000.0,"15,464元/平",VR看装修 随时看房 
四室精装好房，人工湖喷泉，品质社区，有车位,恒大天玺,西客站,4室2厅 ,174.49, 南 , 精装 ,29, 板楼,1,18,2850000.0,"16,334元/平",VR看装修 随时看房 
王炸户型 采光优等  诚心出售 有钥匙 随时看,绿地新里香榭丽公馆,西客站,3室2厅 ,134.62, 南 , 毛坯 ,18, 板楼,2,21,1750000.0,"13,000元/平",VR看装修 随时看房 
艾菲尔花园 电梯 楼层好，地下室,艾菲尔花园,营市街,3室2厅 ,145.0, 南 北 , 简装 ,11, 板楼,1,20,2300000.0,"15,863元/平",VR房源 随时看房 
新房一次未入住，精装三居 两室朝阳 客厅朝阳 采光好,恒大金碧新城,西客站,3室2厅 ,134.77, 南 北 , 简装 ,29, 板楼,1,19,1820000.0,"13,505元/平",VR看装修 随时看房 
户型好，楼层好，物业好，三好，看房方便,绿地新里香榭丽公馆,西客站,2室1厅 ,93.0, 南 北 , 其他 ,31, 板楼,17,16,1210000.0,"13,011元/平",VR房源 随时看房 
梦世界华园 改善社区 居住舒适 诚心出售,梦世界华园,世购,3室2厅 ,102.22, 南 , 精装 ,31, 板楼,2,24,1500000.0,"14,675元/平",VR看装修 随时看房 
美里新居满五唯一 有地下室 双气三线 交通生活便利,美里新居,美里湖,3室2厅 ,89.36, 南 北 , 简装 ,7, 板楼,3, 9个月以前发布,1320000.0,"14,772元/平",VR看装修 房本满五年 随时看房 
《店长推荐》业主急售，经十路上低楼层复式，公摊小。,连城水岸,段店,3室2厅 ,130.0, 南 , 其他 ,18, 板楼,5, 6个月以前发布,2030000.0,"15,616元/平",VR房源 房本满两年 随时看房 
三室两厅好楼层！精装修！卢浮公馆省立医院商圈！,卢浮公馆,西市场,3室2厅 ,118.25, 南 北 , 精装 ,33, 板楼,12, 一年前发布,2550000.0,"21,565元/平",VR看装修 房本满五年 随时看房 
高楼层 采光好，成熟社区 地段繁华 全明户型,连城水岸,段店,3室2厅 ,144.45, 南 , 简装 ,18, 板楼,8, 一年前发布,2100000.0,"14,538元/平",VR看装修 房本满五年 随时看房 
三室电梯房 有地下室 实际使用面积100平 有钥匙,丰润怡邻居,南辛庄,3室2厅 ,71.32, 南 北 , 简装 ,12, 板塔结合,53, 一年前发布,1250000.0,"17,527元/平",VR看装修 房本满两年 随时看房 
满五唯一，三室一厅，采光好，南北通透,吉尔南苑,南辛庄,3室1厅 ,74.14, 南 北 , 简装 ,4, 板楼,30, 一年前发布,1010000.0,"13,623元/平",VR看装修 房本满五年 随时看房 
南北通透 全明户型 产权地下室 看房有钥匙,匡山小区,匡山区,2室2厅 ,84.91, 南 北 , 其他 ,6, 板楼,2, 7个月以前发布,1200000.0,"14,133元/平",VR看装修 房本满五年 随时看房 
凯旋新城东区 精装修 交通便利 采光好,凯旋新城东区,南辛庄,2室1厅 ,85.6, 南 , 精装 ,20, 板楼,3, 5个月以前发布,1620000.0,"18,926元/平",VR看装修 房本满两年 随时看房 
西市场 省立医院 南北通透 两室朝阳 客厅方正,经二路,西市场,3室2厅 ,130.42, 南 北 , 其他 ,6, 板楼,18, 一年前发布,1420000.0,"10,888元/平",VR看装修 房本满五年 随时看房 
中高楼层  精装大三居 从未入住,恒大金碧新城,西客站,3室1厅 ,111.6, 南 北 , 其他 ,29, 板楼,0,8,1550000.0,"13,889元/平",VR看装修 随时看房 
恒大金碧新城 3室2厅 南,恒大金碧新城,西客站,3室2厅 ,121.81, 南 , 其他 ,31, 板楼,8, 4个月以前发布,1720000.0,"14,121元/平",VR看装修 房本满两年 随时看房 
可以帮客户省钱免增值税，好楼层，精装修，产权清晰！,绿地新里香榭丽公馆,西客站,3室2厅 ,109.9, 南 , 精装 ,31, 板楼,80, 7个月以前发布,1410000.0,"12,830元/平",VR看装修 房本满两年 随时看房 
"经典两室,中间楼层,精装修,配套齐全,业主诚心出售",绿地新里香榭丽公馆,西客站,2室2厅 ,90.25, 南 , 精装 ,31, 板楼,23, 11个月以前发布,1210000.0,"13,408元/平",VR看装修 房本满两年 随时看房 
万科物业小高层 低公摊 低密度大三居 看房方便,西城济水上苑,西客站,3室2厅 ,141.09, 南 , 其他 ,18, 板楼,0,4,2100000.0,"14,885元/平",VR看装修 随时看房 
绿地国际花都  四室两厅两卫  复式  带露台 证满五年,绿地国际花都,腊山,4室2厅 ,141.52, 南 , 简装 ,24, 板楼,18, 6个月以前发布,1650000.0,"11,660元/平",近地铁 VR房源 房本满两年 随时看房 
经十西路  蓝石大溪地   花园社区  南北通透,蓝石大溪地,经十西路,3室2厅 ,129.03, 南 北 , 毛坯 ,18, 板楼,32, 一年前发布,1590000.0,"12,323元/平",VR看装修 房本满两年 随时看房 
路劲御景城精装3居室，可三代同堂带地下室随时可看房,路劲御景城,中大槐树,3室2厅 ,118.25, 南 北 , 精装 ,26, 板楼,13, 9个月以前发布,2080000.0,"17,590元/平",近地铁 VR看装修 房本满五年 随时看房 
金科城  证过两年  户型方正  采光充足,金科城,西客站,3室2厅 ,119.3, 南 北 , 简装 ,33, 板楼,33, 11个月以前发布,1630000.0,"13,664元/平",VR看装修 房本满两年 随时看房 
泉城花园 电梯三室 南北通透 有地下室 有车位居住舒适,泉城花园,匡山区,3室2厅 ,121.79, 南 北 , 简装 ,12, 板楼,12, 8个月以前发布,1780000.0,"14,616元/平",VR看装修 房本满五年 随时看房 
楼层高视野宽阔，配套齐交通便利。,汇馨祥和苑,匡山区,3室2厅 ,119.77, 南 北 , 简装 ,7, 板楼,2, 一年前发布,1450000.0,"12,107元/平",VR看装修 房本满五年 随时看房 
