低楼层，南北通透，户型好，采光好！,青年东路5号院,文化西路,3室1厅 ,74.68, 南 北 , 简装 ,5, 板楼,22, 1个月以前发布,1920000.0,"25,710元/平",VR看装修 房本满五年 随时看房 
历山名郡 三室的 房源，精精装修，户型不错新小区,历山名郡,文化西路,3室2厅 ,169.0, 南 北 , 精装 ,11, 板楼,11,28,6950000.0,"41,125元/平",VR房源 房本满五年 
三室非顶户型方正大客厅采光好无遮挡有小房满五唯一,长盛小区南区三区,东关,3室1厅 ,77.98, 南 北 , 简装 ,6, 板楼,11,25,1320000.0,"16,928元/平",VR看装修 房本满五年 
历下区，精装三室，户型方正，中间楼层，证满两年,保利华庭,化纤厂路,3室2厅 ,92.29, 南 , 精装 ,34, 板楼,26,17,2120000.0,"22,972元/平",近地铁 VR房源 房本满两年 
历下区 精装三室 有产权车位+地下室 中间楼层 采光好,盛景家园,盛福,3室2厅 ,138.28, 南 北 , 精装 ,29, 板塔结合,8,26,2900000.0,"20,972元/平",VR房源 房本满五年 
三室两厅两卫，两室一厅朝阳，采光好，带车位地下室,历山名郡,文化西路,3室2厅 ,191.08, 南 北 , 精装 ,11, 板楼,21, 3个月以前发布,7900000.0,"41,344元/平",VR房源 房本满五年 
泉城广场 花园洋房 环境优美 三室朝阳,历山名郡,文化西路,3室2厅 ,168.36, 北 南 , 精装 ,11, 板楼,25, 6个月以前发布,7000000.0,"41,578元/平",VR看装修 房本满两年 
上燕山 有客厅 精装修 带小房 诚心卖 无记录,燕子山小区东路,甸柳,3室1厅 ,88.84, 南 北 , 其他 ,6, 板楼,16,21,2550000.0,"28,704元/平",VR看装修 房本满五年 
靠地铁！证满两年！带车位！带地下室！中间楼层！历下,盛福花园,盛福,2室2厅 ,72.52, 南 北 , 简装 ,6, 板楼,30,17,1200000.0,"16,548元/平",VR房源 房本满两年 
产权清晰 户型方正好用 采光视野好 不临街 安静,甸柳七区,甸柳,3室1厅 ,87.66, 南 北 , 简装 ,5, 板楼,7,19,2050000.0,"23,386元/平",VR看装修 房本满五年 
青后三区单位宿舍  进出方便  采光好,青后小区三区,青后,2室1厅 ,62.96, 南 北 , 精装 ,6, 板楼,6,13,1680000.0,"26,684元/平",VR房源 房本满五年 
燕子山小区东区 3室1厅 南 北,燕子山小区东区,文化东路,3室1厅 ,84.87, 南 北 , 简装 ,6, 板楼,9,15,2260000.0,"26,629元/平",VR看装修 房本满五年 
万科中间楼层 全屋精装 无遮挡 视野好 拎包入住,济南万科城,化纤厂路,3室2厅 ,110.27, 南 北 , 精装 ,34, 板楼,4,12,2580000.0,"23,398元/平",近地铁 VR看装修 房本满两年 
急售广播电视大学宿舍  税少 停车看房方便  4楼,舜耕路2至12号,千佛山,2室2厅 ,66.65, 南 北 , 简装 ,5, 板楼,9,10,1490000.0,"22,356元/平",VR看装修 房本满两年 
泉城公园南邻济南职业学院宿舍 低楼层,舜耕路14号,千佛山,4室2厅 ,151.67, 南 北 , 精装 ,3, 板楼,205, 一年前发布,3690000.0,"24,330元/平",VR看装修 房本满五年 随时看房 
山师东路19号院 3室1厅 南 北,山师东路19号院,文化东路,3室1厅 ,72.86, 南 北 , 简装 ,5, 板楼,11, 1个月以前发布,1500000.0,"20,588元/平",VR看装修 房本满五年 随时看房 
CBD北+万科城精装三室+证满两年+R3地铁,济南万科城,化纤厂路,3室2厅 ,96.13, 南 , 精装 ,34, 板楼,12, 3个月以前发布,2170000.0,"22,574元/平",近地铁 VR看装修 房本满两年 随时看房 
历山路，商贸宿舍，三室朝阳，全明户型，带储藏室,历山路8号院,大明湖站,3室2厅 ,120.0, 南 北 , 简装 ,6, 板楼,19, 一年前发布,1880000.0,"15,667元/平",VR看装修 房本满五年 随时看房 
保利大明湖商品房诚心出售！采光好,保利大明湖,大明湖站,2室1厅 ,80.96, 南 北 , 精装 ,11, 板楼,15, 2个月以前发布,1980000.0,"24,457元/平",近地铁 VR看装修 房本满五年 随时看房 
成熟小区，单位宿舍，出行方便，大院传达,东舍坊街118,佛山街,2室2厅 ,80.89, 南 北 , 简装 ,5, 板楼,5, 3个月以前发布,1640000.0,"20,275元/平",VR看装修 房本满五年 随时看房 
二环东 党校宿舍 环境好 停车方便 中间楼层,山东行政学院宿舍,燕山,3室1厅 ,87.05, 南 北 , 简装 ,5, 板楼,11, 1个月以前发布,2330000.0,"26,767元/平",VR看装修 房本满五年 随时看房 
历下区 BDR3旁.   万科精装房.,济南万科城,化纤厂路,3室2厅 ,96.0, 南 , 精装 ,34, 板楼,17, 1个月以前发布,2130000.0,"22,188元/平",近地铁 VR看装修 房本满两年 随时看房 
桂花园多层洋房，位置安静，采光好，有车位地下室,海尔绿城全运村桂花园,奥体中心,3室2厅 ,147.87, 南 北 , 精装 ,5, 板楼,66, 1个月以前发布,4300000.0,"29,080元/平",近地铁 VR看装修 房本满五年 随时看房 
：全屋精装修，楼层好 采光好，配套齐全！,绿城百合花园,盛福,3室2厅 ,106.4, 南 , 精装 ,20, 板楼,85, 6个月以前发布,2250000.0,"21,147元/平",VR看装修 房本满两年 随时看房 
百合园精装三室，有露台，看房有钥匙,海尔绿城全运村百合园,奥体中心,3室2厅 ,146.73, 南 北 , 简装 ,10, 板楼,72, 3个月以前发布,4300000.0,"29,306元/平",近地铁 VR房源 房本满两年 随时看房 
总价低 单价低  纯燕山 3室 楼层好，好停车  看房方便,山大路238,文化东路,3室2厅 ,75.82, 南 北 , 简装 ,5, 板楼,12, 5个月以前发布,1650000.0,"21,763元/平",VR看装修 房本满五年 随时看房 
东山墅 多层电梯洋房 人车分流 天然氧吧社区,东山墅,旅游路,3室2厅 ,124.32, 南 , 精装 ,6, 板楼,29, 一年前发布,3750000.0,"30,165元/平",VR看装修 房本满两年 随时看房 
燕山立交桥东 采光好，带家具家电，不临街不靠路,名士豪庭2区,浆水泉区,2室1厅 ,84.82, 南 , 简装 ,18, 板楼,59, 10个月以前发布,2060000.0,"24,287元/平",VR看装修 房本满两年 随时看房 
业主诚意出售，价格可聊，带地下室，南北通透,名士豪庭1区,浆水泉区,3室2厅 ,130.67, 南 北 , 简装 ,18, 板楼,161, 11个月以前发布,3100000.0,"23,724元/平",VR看装修 房本满五年 随时看房 
历下区  户型方正 业主诚心卖 看房方便 价格能谈,尚品燕园,盛福,3室2厅 ,102.2, 南 , 精装 ,25, 板楼,12,13,1870000.0,"18,298元/平",近地铁 VR看装修 随时看房 
经典户型 精装修婚房未住过 随时可看 采光充足,财富中心,银座花园,3室2厅 ,100.88, 南 北 , 精装 ,32, 板楼,20, 5个月以前发布,3200000.0,"31,721元/平",VR看装修 房本满两年 随时看房 
商品房，户型方正，采光没有遮挡，上燕山，楼层安静,山大路238,文化东路,2室1厅 ,71.27, 南 北 , 简装 ,5, 板楼,104, 5个月以前发布,1310000.0,"18,381元/平",VR看装修 房本满五年 随时看房 
历下区经典两居，一室一厅朝阳，户型方正，看房方便,祥泰森林河湾,化纤厂路,2室1厅 ,86.65, 南 北 , 精装 ,25, 板楼,79, 一年前发布,1480000.0,"17,081元/平",VR看装修 房本满五年 随时看房 
房子位置好 视野太棒了 免高税 精装修,名士豪庭2区,浆水泉区,3室2厅 ,140.49, 南 北 , 精装 ,18, 板楼,18, 1个月以前发布,4080000.0,"29,042元/平",VR看装修 房本满五年 随时看房 
文化东路，三箭吉祥苑，三室两厅，电梯四楼，南北通透,三箭吉祥苑,甸柳,3室2厅 ,138.11, 北 南 , 精装 ,12, 板楼,13, 一年前发布,3720000.0,"26,936元/平",VR看装修 房本满五年 随时看房 
房子满五年，中间楼层，采光无遮挡，户型方正,名士豪庭1区,浆水泉区,3室1厅 ,142.55, 南 北 , 精装 ,30, 板楼,21, 3个月以前发布,3500000.0,"24,553元/平",VR看装修 房本满五年 随时看房 
精装婚房，采光好，楼层好，不沿街,枫润山居,茂岭山,2室2厅 ,71.67, 南 北 , 简装 ,7, 板楼,26, 4个月以前发布,1380000.0,"19,255元/平",VR看装修 房本满两年 随时看房 
山师东路 安静楼层好 配套全 三室 户型好用 文东燕山,师东小区,文化东路,3室2厅 ,111.62, 南 , 简装 ,7, 板楼,45, 一年前发布,2190000.0,"19,621元/平",VR看装修 房本满五年 随时看房 
带地下室 万科精装 南北通透  楼层好采光佳 诚意出售,万科金域华府,凤山路,3室2厅 ,98.43, 南 北 , 精装 ,33, 板楼,18, 5个月以前发布,2050000.0,"20,827元/平",VR看装修 房本满两年 随时看房 
尚品燕园精装三室+看房方便+采光好+不沿街+着急出售,尚品燕园,盛福,3室1厅 ,110.04, 南 , 精装 ,25, 板楼,99, 11个月以前发布,1820000.0,"16,540元/平",近地铁 VR看装修 房本满两年 随时看房 
南北通透  精装修  楼层好 采光好,名士豪庭1区,浆水泉区,3室2厅 ,133.15, 南 北 , 精装 ,18, 板楼,42, 5个月以前发布,3700000.0,"27,789元/平",VR看装修 房本满五年 随时看房 
房子带30平院 房主诚心出售 正规两室一厅,山大南路69-2号,山大路,2室1厅 ,66.26, 南 , 简装 ,5, 板楼,41, 一年前发布,1360000.0,"20,526元/平",VR房源 房本满五年 随时看房 
房主诚心出售 看房随时 房子有钥匙,绿景嘉园,山大路,3室2厅 ,146.59, 南 北 , 简装 ,11, 板塔结合,18, 2个月以前发布,3350000.0,"22,853元/平",VR房源 房本满五年 随时看房 
必看！历下片区双地铁+满两年+总价低+全明户型,尚品燕园,盛福,2室1厅 ,80.46, 南 北 , 简装 ,25, 板楼,19, 6个月以前发布,1390000.0,"17,276元/平",近地铁 VR看装修 房本满两年 随时看房 
户型好，采光好，户型好，小区环境好,枫润山居,茂岭山,2室2厅 ,82.53, 南 北 , 简装 ,7, 板楼,24, 3个月以前发布,1360000.0,"16,479元/平",VR看装修 房本满五年 随时看房 
紫御东郡精装两室+随时看房+全天采光+不沿街+着急出售,中海紫御东郡,盛福,2室1厅 ,79.11, 南 , 精装 ,31, 板楼,44, 1个月以前发布,1320000.0,"16,686元/平",近地铁 VR看装修 房本满五年 随时看房 
此房有证，楼层好，视野宽阔，配套齐全,盛福花园,盛福,2室1厅 ,61.0, 南 , 精装 ,6, 板楼,25, 6个月以前发布,1055000.0,"17,296元/平",VR看装修 房本满两年 随时看房 
浆水泉路大三居 精装修九楼 南北通透 位置安静,正大城市花园景苑,燕山,3室2厅 ,158.77, 南 北 , 精装 ,12, 板楼,40, 4个月以前发布,3700000.0,"23,305元/平",VR房源 房本满五年 随时看房 
历下区凯旋公馆花园小区万科保利商圈 精装修,凯旋公馆,化纤厂路,2室2厅 ,91.73, 南 北 , 精装 ,27, 板楼,28, 9个月以前发布,1798000.0,"19,602元/平",VR看装修 房本满五年 随时看房 
和平路 一楼 双气 业主诚心出售 价格好谈,和平路29,历东,3室2厅 ,79.0, 南 北 , 简装 ,5, 板楼,7, 4个月以前发布,1980000.0,"25,064元/平",VR看装修 房本满五年 随时看房 
历下区温馨精装万科物业品质三居 泉东之门一路之隔,万科金域华府,凤山路,3室2厅 ,96.59, 南 北 , 精装 ,31, 板楼,13, 2个月以前发布,2100000.0,"21,742元/平",VR看装修 房本满两年 随时看房 
历下区小两居，总价低，环境好！,御华嘉苑,化纤厂路,2室2厅 ,89.66, 南 , 毛坯 ,17, 板楼,22, 4个月以前发布,1550000.0,"17,288元/平",VR看装修 房本满两年 随时看房 
司里街小区北区  中间楼层  双气  南向 诚意出售,司里街小区北区,泉城路,1室1厅 ,39.8, 南 , 简装 ,5, 板楼,151, 2个月以前发布,1120000.0,"28,141元/平",VR房源 房本满两年 随时看房 
带8平地下室！历下区 孩子上学方便  正规两室 采光好,中海紫御东郡,盛福,2室2厅 ,84.24, 南 北 , 精装 ,32, 板楼,47, 3个月以前发布,1460000.0,"17,332元/平",VR看装修 房本满五年 随时看房 
三楼 有地下室历下区 总价低生活成本低,科苑小区北区,祝甸,2室2厅 ,84.35, 南 北 , 简装 ,6, 板楼,38,18,1180000.0,"13,990元/平",VR看装修 
长盛小区 大明湖护城河 单位宿舍 大院传达 户型好,长盛小区南区三区,东关,3室2厅 ,100.33, 南 北 , 精装 ,6, 板楼,10,5,1650000.0,"16,446元/平",VR房源 房本满五年 随时看房 
大G户型，40万精装修，品牌家具家电，业主用心装修,绿城百合花园,盛福,3室2厅 ,138.74, 南 北 , 简装 ,17, 板楼,20,7,3450000.0,"24,867元/平",VR房源 房本满两年 随时看房 
永大清华园 4室2厅 南 北,永大清华园,环山,4室2厅 ,183.66, 南 北 , 精装 ,6, 板楼,34, 7个月以前发布,5690000.0,"30,982元/平",VR房源 房本满五年 随时看房 
满五唯一 居中楼层 伴山富氧地带 花园小区看房方便,永大清华园,环山,3室2厅 ,153.15, 南 北 , 精装 ,10, 板楼,27, 9个月以前发布,4430000.0,"28,926元/平",VR看装修 房本满五年 随时看房 
千佛山下 装修好 可拎包入住 方便实用,中医药大学二宿舍,环山,2室2厅 ,74.5, 南 北 , 精装 ,5, 板楼,1,9,1980000.0,"26,578元/平",VR看装修 房本满五年 
齐鲁医院  青年东路    宿舍能停车有储藏室,青年东路5号院,文化西路,3室0厅 ,86.77, 南 北 , 简装 ,5, 板楼,12,22,2060000.0,"23,741元/平",VR看装修 房本满五年 随时看房 
千佛山环山路佛慧山下，中润裕华园低楼层证过5年唯一,中润裕华园,环山,2室2厅 ,95.7, 南 北 , 简装 ,7, 板楼,17,30,2200000.0,"22,989元/平",VR看装修 房本满五年 随时看房 
建工五宿舍+中间楼层+南北通透+配套齐全,山师东路9号,文化东路,3室2厅 ,98.14, 南 北 , 精装 ,6, 板楼,69, 7个月以前发布,2430000.0,"24,761元/平",VR看装修 房本满五年 随时看房 
盛基汇景 2007年电梯房 东方双语四居 有车位 可看房,盛基汇景,环山,4室2厅 ,153.61, 东 南 北 , 简装 ,17, 板楼,122, 一年前发布,3880000.0,"25,259元/平",VR看装修 房本满五年 随时看房 
精装三室 双气 电梯房 可贷款 看房子有钥匙 随时看,中润世纪广场,姚家,3室1厅 ,123.78, 南 北 , 精装 ,16, 板楼,15,28,2899000.0,"23,421元/平",VR房源 房本满五年 随时看房 
房产证满二 有地下室14.46平 采光好 出行方便,济南万科城,化纤厂路,3室2厅 ,96.26, 南 , 精装 ,33, 板楼,28,30,2130000.0,"22,128元/平",近地铁 VR看装修 房本满两年 随时看房 
燕子山脚下两室朝阳 客厅带窗 好楼层 满五年 随时看房,燕东山庄,燕山,2室2厅 ,82.8, 南 北 , 简装 ,6, 板楼,1,7,1800000.0,"21,740元/平",VR看装修 房本满五年 随时看房 
七家村 2室0厅 南,七家村,青后,2室0厅 ,46.93, 南 , 精装 ,5, 板楼,4,9,1380000.0,"29,406元/平",VR看装修 房本满五年 随时看房 
万科精装三室，物业好，户型好，生活方便,济南万科城,化纤厂路,3室1厅 ,117.74, 南 , 精装 ,34, 板楼,16,16,2690000.0,"22,847元/平",近地铁 VR房源 房本满两年 
历下区 小高层  带地下室  精装两室,淮海东城御景,盛福,2室2厅 ,82.83, 南 , 精装 ,17, 板楼,14,8,1350000.0,"16,299元/平",VR看装修 房本满两年 
中间楼层，双气，采光好，经典小户型，有大院可停车,长盛小区南区一区,东关,2室1厅 ,52.47, 南 , 精装 ,6, 板楼,8,10,980000.0,"18,678元/平",VR房源 房本满五年 
万科城 历下 CBD生活区 精装高层 视野采光好 拎包入住,济南万科城,化纤厂路,3室2厅 ,96.25, 南 , 精装 ,33, 板楼,4,9,2150000.0,"22,338元/平",近地铁 VR看装修 房本满两年 
精装3居 急售 户型不错 小区靠山的空气好,永大清华园,环山,3室2厅 ,162.9, 南 北 , 精装 ,8, 板楼,9,9,4550000.0,"27,932元/平",VR房源 房本满五年 
满五年，南北通透，临奥体中路，出行方便。,中海紫御东郡,盛福,3室2厅 ,118.05, 南 北 , 精装 ,31, 板楼,7,9,2180000.0,"18,467元/平",近地铁 VR看装修 房本满五年 
建大宿舍，低楼层2楼，3室朝阳，有车位储藏室，房龄新,历山路96号,历东,3室2厅 ,112.5, 南 北 , 简装 ,6, 板楼,20, 8个月以前发布,3050000.0,"27,112元/平",VR看装修 房本满五年 
店长推荐 急售 带100平露台 精装 低于市场价,海尔绿城全运村百合园,奥体中心,4室3厅 ,239.55, 南 北 , 精装 ,14, 板楼,118, 6个月以前发布,6350000.0,"26,509元/平",VR房源 房本满五年 
好房推荐+明厨明卫+中间楼层+满五唯一+无记录,甸柳二区,甸柳,3室1厅 ,69.0, 南 , 简装 ,6, 板楼,4,14,2370000.0,"34,348元/平",VR看装修 房本满五年 
凤凰层 70万装修三卫平层 诚心出售 双车位随时看,黄金99御园,燕山,4室2厅 ,200.54, 南 北 , 精装 ,11, 板楼,7,8,6900000.0,"34,408元/平",VR看装修 房本满两年 
千佛山脚下 精装两室朝阳 二楼 有地下室 满五唯一,千佛山西路26号,千佛山,2室2厅 ,79.49, 南 北 , 精装 ,4, 板楼,19, 4个月以前发布,2160000.0,"27,174元/平",VR看装修 房本满五年 随时看房 
CBD北邻 万科城 精装三居室 业主诚心卖,济南万科城,化纤厂路,3室2厅 ,107.04, 南 北 , 精装 ,16, 板楼,20, 3个月以前发布,2500000.0,"23,356元/平",近地铁 VR看装修 房本满两年 随时看房 
仰望星空，渴望家园，万科城给你一个温暖的家,济南万科城,化纤厂路,3室2厅 ,96.24, 南 , 精装 ,26, 板楼,27, 1个月以前发布,2180000.0,"22,652元/平",近地铁 VR看装修 房本满两年 随时看房 
CBD 工业南路 都市阳光 三室 花园社区 小高层 高绿化,都市阳光,茂岭山,3室2厅 ,116.3, 南 北 , 简装 ,21, 板楼,28, 6个月以前发布,2380000.0,"20,465元/平",VR看装修 房本满两年 随时看房 
青年西路实用两室非 常大露台 中间楼层 房源性价 比高,青年西路,文化西路,2室1厅 ,64.67, 东 西 , 精装 ,6, 板楼,63, 11个月以前发布,850000.0,"13,144元/平",VR看装修 房本满五年 随时看房 
力高国际精装三室+随时看房+地下室+不沿街+着急出售,力高国际,盛福,3室1厅 ,101.49, 南 , 精装 ,31, 板楼,52, 9个月以前发布,1799000.0,"17,726元/平",近地铁 VR看装修 房本满五年 随时看房 
羊头峪教职工宿舍双气稀有三室低楼层证过５年家庭唯一,羊头峪路,环山,3室2厅 ,82.48, 南 北 , 精装 ,5, 板楼,32, 6个月以前发布,2060000.0,"24,976元/平",VR看装修 房本满五年 随时看房 
纯燕山 采光好 楼层好 总价低  看房方便 诚心出售,山大路238,文化东路,2室0厅 ,52.8, 南 北 , 简装 ,5, 板楼,0,22,1000000.0,"18,940元/平",VR看装修 房本满五年 随时看房 
转山西路精装五居，客厅可看到操场，购物出现方便,拉菲公馆（百融名苑）,银座花园,5室2厅 ,202.56, 南 北 , 精装 ,29, 板楼,94, 8个月以前发布,5400000.0,"26,659元/平",VR房源 房本满两年 
18年精装好房 全明三居 历下好楼层  有车位地下室,御华嘉苑,化纤厂路,3室2厅 ,117.64, 南 , 精装 ,24, 板楼,94, 一年前发布,2400000.0,"20,402元/平",VR看装修 房本满两年 
出门就是地铁口，出行方便，精装修，价格适宜,力高国际,盛福,3室2厅 ,101.49, 南 , 精装 ,31, 板楼,3, 1个月以前发布,1900000.0,"18,722元/平",近地铁 VR看装修 房本满两年 
CBD满二唯一，精装修全明户型采光好，有车位,花园小镇,化纤厂路,3室2厅 ,97.2, 南 北 , 精装 ,33, 板楼,32, 1个月以前发布,1940000.0,"19,959元/平",近地铁 VR看装修 房本满两年 
护城河边，物价局单位宿舍，三居室，管理规范，好停车,长盛北区,东关,3室1厅 ,96.0, 南 北 , 简装 ,6, 板楼,15, 5个月以前发布,1650000.0,"17,188元/平",VR看装修 房本满五年 
明月华庭 电梯房 有地下室 满五 山景房 看房方便,明月华庭,环山,4室2厅 ,183.72, 南 北 , 简装 ,12, 板楼,40, 6个月以前发布,4100000.0,"22,317元/平",VR房源 房本满五年 
此房有证，南北通透格局好，视野宽阔，配套齐全,盛福花园,盛福,3室1厅 ,82.05, 北 南 , 简装 ,6, 板楼,19, 4个月以前发布,1350000.0,"16,454元/平",VR看装修 房本满两年 
铁路医院 齐鲁医院  精装修 采光棒 诚心出售,青年西路,文化西路,2室2厅 ,49.36, 东 西 , 精装 ,6, 板楼,23, 1个月以前发布,700000.0,"14,182元/平",VR看装修 房本满两年 
房龄新，配套设施齐全，交通便利，楼层好，采光充足,东舍坊东居,佛山街,2室2厅 ,77.03, 南 , 简装 ,17, 板楼,28, 6个月以前发布,1660000.0,"21,551元/平",VR看装修 房本满两年 
好房推荐+新出精装修三室+有车库+面积大可停三辆车,中润世纪广场,姚家,3室2厅 ,179.62, 南 北 , 精装 ,11, 板楼,94, 一年前发布,4500000.0,"25,053元/平",VR看装修 房本满五年 
双语实验旁经典三居室   生活、交通便利，总价低,羊头峪路,环山,3室1厅 ,87.02, 南 北 , 精装 ,5, 板楼,22, 3个月以前发布,1890000.0,"21,720元/平",VR房源 房本满五年 
历下区，精装大四室，南北通透，采光视野好,绿城百合花园,盛福,4室2厅 ,175.22, 南 北 , 精装 ,24, 板楼,44, 5个月以前发布,4200000.0,"23,970元/平",VR看装修 房本满两年 
财富中心 3室2厅 南 北,财富中心,银座花园,3室2厅 ,131.74, 南 北 , 简装 ,31, 板楼,9,23,4210000.0,"31,957元/平",VR看装修 房本满两年 
经十路，名士豪庭，位置安静，视野开阔，南看山景,名士豪庭1区,浆水泉区,3室2厅 ,135.61, 南 北 , 精装 ,25, 板楼,8,21,3650000.0,"26,916元/平",VR看装修 房本满五年 
急售东旺家园 双气三线 好楼层 有地下室 甸柳片区,东旺家园,甸柳,3室2厅 ,113.28, 南 北 , 其他 ,6, 板楼,11,29,2700000.0,"23,835元/平",VR看装修 房本满五年 
牧牛山下多层带电梯，山大辅仁南北通透，,汇中沁园,旅游路,2室2厅 ,93.33, 南 北 , 精装 ,7, 板楼,7,21,2700000.0,"28,930元/平",VR看装修 房本满五年 
历下区全明户型满五唯一精装修带全套家具家电带地下室,凯旋公馆,化纤厂路,2室1厅 ,94.75, 南 北 , 精装 ,30, 板楼,3,29,1720000.0,"18,154元/平",近地铁 VR看装修 房本满五年 
万科品质 花园式小区 人车分流闹中取静出入繁华！,万科金域华府,凤山路,3室2厅 ,100.09, 南 , 精装 ,29, 板楼,34,17,1900000.0,"18,983元/平",VR看装修 房本满两年 
历下区 花园小镇 边户2居 精装 南北通透 中间楼层,花园小镇,化纤厂路,2室2厅 ,80.77, 南 北 , 精装 ,33, 板楼,11,26,1580000.0,"19,562元/平",近地铁 VR看装修 房本满五年 
房龄新  电梯房  精装 采光好 视野好 有地下室,中建国熙台,山大路,2室2厅 ,94.48, 南 北 , 精装 ,29, 板楼,14,26,2890000.0,"30,589元/平",VR看装修 房本满两年 
春天花园，2室朝阳电梯房，固定车位，小户型，总价低,春天花园,花园路,2室1厅 ,75.38, 南 北 , 精装 ,11, 板楼,12,29,1680000.0,"22,288元/平",VR看装修 房本满五年 
正规小户型住宅  楼层好  业主诚心出售,新馨家园,化纤厂路,1室1厅 ,38.73, 北 , 简装 ,6, 板楼,4,29,560000.0,"14,460元/平",VR看装修 房本满五年 
高楼层电梯房，前后无遮挡视野开阔，配套齐全生活便利,中建文化城,燕山,2室1厅 ,68.12, 西北 , 简装 ,32, 板楼,1,24,1900000.0,"27,892元/平",VR看装修 房本满两年 
满五唯一+带小房+无上学记录+好楼层采光好+面积可测大,甸柳五区,甸柳,2室0厅 ,49.68, 南 , 简装 ,7, 板楼,17,22,1100000.0,"22,142元/平",VR看装修 房本满五年 
千佛山脚下 电梯洋房 楼龄新视野好 位置好 低密度,永大清华园,环山,3室2厅 ,153.0, 南 北 , 简装 ,10, 板楼,55, 一年前发布,3900000.0,"25,491元/平",VR看装修 随时看房 
历下区，东盛花园，免费车位，随时看房,东盛花园,凤山路,3室2厅 ,98.0, 南 北 , 简装 ,6, 板楼,30,25,1280000.0,"13,062元/平",VR看装修 随时看房 
车位 地下室 证满两年 全天采光 价格优惠  手慢无,三庆城市主人,凤山路,3室2厅 ,135.0, 南 北 , 简装 ,17, 板楼,16,28,2330000.0,"17,260元/平",VR房源 随时看房 
名士豪庭南北通透三居室  高楼层采光无遮挡,名士豪庭1区,浆水泉区,3室1厅 ,138.45, 南 北 , 精装 ,27, 板楼,60, 一年前发布,3280000.0,"23,691元/平",VR房源 房本满两年 随时看房 
三庆城市主人，有车位地下室，历下区汉峪金谷，有钥匙,三庆城市主人,凤山路,3室2厅 ,135.9, 南 , 简装 ,17, 板楼,47, 3个月以前发布,2380000.0,"17,513元/平",VR房源 房本满两年 随时看房 
多7平北阳台 山大辅仁 无上学记录 位置楼层佳,财富中心,银座花园,3室2厅 ,143.47, 南 北 , 精装 ,32, 板楼,4,20,4700000.0,"32,760元/平",VR看装修 
楼层适宜，南北通透 中间楼层 看房提前约,银座花园,银座花园,2室2厅 ,81.51, 南 北 , 简装 ,6, 板楼,16, 4个月以前发布,2250000.0,"27,604元/平",VR看装修 房本满五年 
正规南北三室两卫，满两年！采光好随时可看！,淮海东城御景,盛福,3室2厅 ,112.73, 南 北 , 简装 ,17, 板楼,142, 3个月以前发布,1790000.0,"15,879元/平",VR看装修 房本满两年 
花园小镇 中高层 精装 带家具家电采光明亮,花园小镇,化纤厂路,3室1厅 ,97.2, 南 北 , 精装 ,33, 板楼,47, 1个月以前发布,1880000.0,"19,342元/平",近地铁 VR看装修 房本满五年 
"三室两厅两卫,一室一厅朝阳,采光好,带车位和地下室",历山名郡,文化西路,3室2厅 ,150.3, 南 北 , 精装 ,8, 板楼,34, 2个月以前发布,5850000.0,"38,923元/平",VR看装修 房本满五年 
海尔绿城花园洋房 好楼层 采光好 低公摊 诚心出售,海尔绿城全运村桂花园,奥体中心,4室2厅 ,157.55, 南 北 , 精装 ,5, 板楼,24, 1个月以前发布,5350000.0,"33,958元/平",近地铁 VR看装修 房本满五年 
建大院好停车户型方正南北通透配套齐全 一楼带院,历山路96号,历东,3室1厅 ,113.0, 南 北 , 简装 ,6, 板楼,8,10,3400000.0,"30,089元/平",VR房源 
诚基中心 2室1厅 南 北,诚基中心,历东,2室1厅 ,63.0, 南 北 , 精装 ,9, 塔楼,3,7,1480000.0,"23,493元/平",VR房源 
历下区凯旋公馆精装修三居室，高楼层，视野采光好,凯旋公馆,化纤厂路,3室2厅 ,111.42, 南 北 , 精装 ,30, 板楼,45, 一年前发布,2380000.0,"21,361元/平",VR看装修 房本满五年 
太奇缺！山大辅仁奇缺小四居！家门口山体公园 无记录,汇中沁园,旅游路,4室2厅 ,144.39, 南 北 , 精装 ,6, 板楼,31, 1个月以前发布,4330000.0,"29,989元/平",VR看装修 房本满两年 
位置安静，采光充足，辅仁商圈，通透性较好,荷兰庄园,银座花园,2室1厅 ,134.14, 南 北 , 精装 ,7, 板楼,7, 5个月以前发布,3200000.0,"23,856元/平",VR看装修 房本满五年 
棋盘三室 精装修 中低楼层 视野开阔 采光好,棋盘小区三区,佛山街,3室1厅 ,83.0, 南 北 , 其他 ,6, 板楼,14, 1个月以前发布,2150000.0,"25,904元/平",VR看装修 房本满五年 
此房满五不唯一，采光好，低楼层,青年东路5号院,文化西路,2室2厅 ,76.79, 南 北 , 精装 ,5, 板楼,4,15,2100000.0,"27,348元/平",VR房源 
三室房源，两室朝阳，采光好，视野棒，带车位和地下室,历山名郡,文化西路,3室2厅 ,172.1, 南 北 , 其他 ,11, 板楼,8, 1个月以前发布,6700000.0,"38,931元/平",VR看装修 房本满五年 
户型方正 有车位地下室 采光通风佳 房龄新配套全 急售,恒大帝景,文化东路,3室2厅 ,174.08, 南 北 , 精装 ,31, 板楼,34, 3个月以前发布,5750000.0,"33,031元/平",VR看装修 房本满两年 
山航宿舍 3室2厅 南,山航宿舍,姚家,3室2厅 ,98.1, 南 , 精装 ,6, 板楼,20, 1个月以前发布,2090000.0,"21,305元/平",VR看装修 房本满五年 
