精装两室不沿街 全福立交桥两室两厅全明户型 客厅朝南,路劲东城,全福区,2室2厅 ,82.94, 南 , 精装 ,33, 板楼,10, 1个月以前发布,1280000.0,"15,433元/平",VR看装修 房本满两年 随时看房 
保利海德公馆毛坯房源，公摊小，,保利海德公馆,祝甸,5室2厅 ,282.0, 南 北 , 简装 ,31, 板楼,10, 一年前发布,6960000.0,"24,681元/平",近地铁 VR房源 房本满两年 
锦绣泉城 三层复式 有平台 大约50平  看房方便,锦绣泉城,七里河,8室2厅 ,249.31, 南 北 , 其他 ,13, 板楼,10, 1个月以前发布,4500000.0,"18,050元/平",VR房源 房本满两年 
诚意出售 七里河 三室两厅 交通便利 购物方便,七里河路6-1号,七里河,3室2厅 ,93.63, 南 北 , 精装 ,6, 板楼,33, 9个月以前发布,1350000.0,"14,419元/平",VR看装修 房本满五年 
三室朝阳的大三居。户型方正，空间很大。诚意出售。,华龙路726号,化纤厂路,3室2厅 ,184.28, 南 , 其他 ,7, 板楼,5, 8个月以前发布,2600000.0,"14,109元/平",VR房源 房本满五年 
前无遮挡，楼层好。全明户型，复式,桑园小区,还乡店,5室3厅 ,190.75, 南 北 , 其他 ,11, 塔楼,15, 一年前发布,3000000.0,"15,728元/平",VR房源 房本满两年 
东方丽景大厦 2室1厅 南,东方丽景大厦,七里河,2室1厅 ,126.52, 南 , 简装 ,26, 塔楼,3, 1个月以前发布,1490000.0,"11,777元/平",VR看装修 房本满五年 
荣盛时代广场+南全福+全福立交+洪家楼+印象城+地铁口,南全福小区西区,全福区,3室2厅 ,116.12, 南 北 , 其他 ,6, 板楼,3, 1个月以前发布,1600000.0,"13,779元/平",VR看装修 房本满两年 
东城逸家逸俊园 两室两厅 户型方正 南北,东城逸家逸俊园,汉峪,2室2厅 ,91.9, 南 北 , 简装 ,18, 板楼,14,24,2750000.0,"29,924元/平",VR看装修 房本满两年 
房子采光好，小高层，低公摊，方便出行，楼层好！,中海华山珑城,华山,2室2厅 ,91.25, 南 , 简装 ,18, 板楼,0,21,1550000.0,"16,987元/平",VR看装修 房本满两年 
满二精装修带地下室小高层楼层好、首付三成即可,保利花园,建筑大学,2室2厅 ,90.03, 南 , 精装 ,20, 板楼,4,23,1380000.0,"15,329元/平",VR看装修 房本满两年 
翡翠清河精装两室，好楼层，采光好，户型方正好用,翡翠清河,还乡店,2室2厅 ,98.37, 南 北 , 精装 ,17, 板楼,2,27,1860000.0,"18,909元/平",VR看装修 房本满五年 
历城区 唐冶恒大名都 南北通透三室两卫中间楼层满两年,恒大名都,唐冶,3室1厅 ,136.5, 南 北 , 精装 ,30, 板楼,4,24,1730000.0,"12,674元/平",VR看装修 房本满两年 
明福苑 采光好 满二 户型方正 有地下室 看房方便 急售,明福苑,全福区,2室2厅 ,78.52, 南 北 , 精装 ,8, 板楼,9, 1个月以前发布,1100000.0,"14,010元/平",VR看装修 房本满两年 
房主诚心卖，出行方便，楼下菜市场，大院干净,闵子骞路,洪家楼,3室2厅 ,110.1, 南 , 精装 ,5, 板楼,9,29,1630000.0,"14,805元/平",VR看装修 房本满五年 
全明户型，正规两室，地理位置佳，高楼层采光好,上海花园,祝甸,2室2厅 ,99.22, 南 北 , 简装 ,6, 板楼,4, 1个月以前发布,1680000.0,"16,933元/平",近地铁 VR看装修 房本满两年 
万科物业  有电梯  采光好  业主自住  满两年免高税,万科新里程,还乡店,2室2厅 ,81.11, 南 , 精装 ,34, 板楼,11,25,1310000.0,"16,151元/平",近地铁 VR看装修 房本满两年 
11层小洋房 电梯房 带地下室 带车位  精装 随时看房,桑园小区,还乡店,3室2厅 ,137.81, 南 , 精装 ,11, 塔楼,2,22,2330000.0,"16,908元/平",VR看装修 房本满两年 
洪家楼 印象城 国美 洪楼教堂 单位宿舍 大院传达 两室,花园路125号,洪家楼,2室2厅 ,79.95, 南 北 , 简装 ,6, 板楼,0,20,1450000.0,"18,137元/平",VR看装修 房本满五年 
汇科旺园 3室2厅 南 北,汇科旺园,洪家楼,3室2厅 ,160.35, 南 北 , 精装 ,18, 板塔结合,3,17,3560000.0,"22,202元/平",VR房源 房本满两年 
中海华山珑城湖景房 证满二 去哪明户型 中间楼层,中海华山珑城,华山,2室1厅 ,90.14, 南 北 , 精装 ,24, 板楼,0,17,1310000.0,"14,533元/平",VR看装修 房本满两年 
南全福老东区！两室！低公摊！86平房主诚意出售！急急,南全福小区老东区,全福区,2室2厅 ,86.13, 南 北 , 其他 ,6, 板楼,2,17,1250000.0,"14,513元/平",VR看装修 房本满五年 
精装修 刚需小两室 看房方便 价格可聊,工业北路236,还乡店,2室1厅 ,54.74, 南 北 , 精装 ,5, 板楼,5,19,690000.0,"12,606元/平",VR看装修 房本满五年 
此房满五唯一，户型好，层高很高已做复式，采光好，急,葡萄园小区,七里河,2室2厅 ,96.37, 南 北 , 简装 ,6, 板楼,14,28,1400000.0,"14,528元/平",VR看装修 房本满五年 
两室两厅 小区中间位置  自住未住 房子保养的很好,上海花园,祝甸,2室2厅 ,99.22, 南 北 , 精装 ,6, 板楼,3,30,1760000.0,"17,739元/平",近地铁 VR看装修 房本满五年 
海川初中 证满五年有车位，精装 中间楼层采光视野好,中铁逸都国际,汉峪,2室2厅 ,87.68, 南 , 精装 ,24, 板楼,16,29,1620000.0,"18,477元/平",VR看装修 房本满五年 
小区大面积复式 纯改善住宅 11层洋房 业主自住,桑园小区,还乡店,5室3厅 ,201.34, 南 , 精装 ,12, 塔楼,3,30,3000000.0,"14,901元/平",VR房源 房本满两年 
华山珑城C区，精装房，真正的拎包入住！含带家具家电,中海华山珑城,华山,3室2厅 ,114.32, 南 , 精装 ,33, 板塔结合,6,19,1590000.0,"13,909元/平",VR房源 房本满两年 
万科新里程 2室2厅 南,万科新里程,还乡店,2室2厅 ,81.3, 南 , 精装 ,34, 板楼,3,26,1380000.0,"16,975元/平",近地铁 VR看装修 房本满两年 
房主诚心出售，采光好，南北通透,工业北路24532号,还乡店,2室1厅 ,58.71, 南 北 , 精装 ,5, 暂无数据,0,22,750000.0,"12,775元/平",VR房源 房本满五年 
有车位地下室 诚意出售 经十路旁地铁口 精装两室好房,和润幸福城,唐冶,2室2厅 ,90.46, 南 北 , 精装 ,32, 板楼,0,14,1850000.0,"20,452元/平",VR房源 房本满五年 
山大北路34号 2室1厅 南 北,山大北路34号,山大路,2室1厅 ,65.0, 南 北 , 精装 ,6, 板楼,6,11,1250000.0,"19,231元/平",VR看装修 房本满两年 
七里堡社区东区 2室2厅 南 北,七里堡社区东区,祝甸,2室2厅 ,98.0, 南 北 , 其他 ,6, 板楼,0,4,1650000.0,"16,837元/平",VR房源 
龙湖春江郦城东区 3室1厅 南 北,龙湖春江郦城东区,建筑大学,3室1厅 ,107.51, 南 北 , 其他 ,34, 板楼,0,6,2000000.0,"18,603元/平",VR房源 
"地铁口，粮库院里，6,7复式，精装修",祝舜路1801号,祝甸,5室2厅 ,151.83, 南 北 , 其他 ,5, 板楼,1,5,1750000.0,"11,527元/平",VR房源 
房子急售 看房子方便 价格可以谈,幸福苑,还乡店,4室2厅 ,153.0, 南 北 , 其他 ,7, 板楼,0,3,2100000.0,"13,726元/平",VR房源 
龙湖春江郦城东区 3室1厅 南,龙湖春江郦城东区,建筑大学,3室1厅 ,95.0, 南 , 其他 ,25, 板楼,3,4,1500000.0,"15,790元/平",VR看装修 
七里堡小区北区，地下室。十五平,七里堡北区,祝甸,2室2厅 ,105.95, 南 北 , 其他 ,6, 板楼,1,8,1500000.0,"14,158元/平",近地铁 VR看装修 
好户型！非顶底！证满两年！产权清晰！,华皓英伦联邦,汉峪,3室2厅 ,118.0, 南 北 , 简装 ,24, 板楼,0,5,3300000.0,"27,967元/平",VR看装修 
精装修好房  房东诚意卖  税费低,中海华山珑城,华山,2室1厅 ,83.0, 南 , 其他 ,33, 板楼,0,3,1230000.0,"14,820元/平",VR看装修 
东岸嘉园 三室 带车位 中间楼层 户型好,东岸嘉园,经十东路,3室2厅 ,149.0, 南 北 , 简装 ,24, 板楼,0,6,1780000.0,"11,947元/平",VR看装修 
东岸嘉园 3室1厅 南 北,东岸嘉园,经十东路,3室1厅 ,145.65, 南 北 , 其他 ,24, 板楼,0,2,1700000.0,"11,672元/平",VR看装修 
旅游路三盛国际公园，中高楼层，无车位地下室,三盛国际公园,汉峪,3室2厅 ,112.0, 南 北 , 其他 ,29, 板楼,8,6,2700000.0,"24,108元/平",VR看装修 
8级好楼层  好装修 精装  位置好  采光好,中海御山首府,华山,3室2厅 ,104.0, 南 北 , 其他 ,34, 板楼,0,3,1350000.0,"12,981元/平",VR看装修 
保利海德公馆 1室2厅 南,保利海德公馆,祝甸,1室2厅 ,117.0, 南 , 其他 ,32, 板楼,2,8,2200000.0,"18,804元/平",近地铁 VR房源 
华龙路一楼小院子围绕 有车位和三个储物间约126平,绿地隆悦公馆,化纤厂路,3室2厅 ,170.63, 南 北 , 简装 ,18, 板楼,0,8,4250000.0,"24,908元/平",VR房源 
龙湖春江郦城 好楼层，视野开阔，采光好,龙湖春江郦城东区,建筑大学,3室1厅 ,95.0, 南 , 其他 ,34, 板楼,3,6,1450000.0,"15,264元/平",VR看装修 
永大颐和园 3室2厅 南 北,永大颐和园,建筑大学,3室2厅 ,154.0, 南 北 , 其他 ,18, 板楼,0,6,2100000.0,"13,637元/平",VR看装修 
龙湖春江悦茗 3室2厅 南,龙湖春江悦茗,唐冶,3室2厅 ,121.0, 南 , 其他 ,17, 板楼,0,5,1950000.0,"16,116元/平",VR房源 
龙湖春江悦茗 3室2厅 南 北,龙湖春江悦茗,唐冶,3室2厅 ,121.0, 南 北 , 其他 ,17, 板楼,0,1,2300000.0,"19,009元/平",VR房源 
中铁逸都国际 3室2厅 南 北,中铁逸都国际,汉峪,3室2厅 ,121.02, 南 北 , 精装 ,31, 板楼,3,3,2250000.0,"18,592元/平",VR看装修 
保利花园 中间楼层 采光视野好 带地下室 精装,保利花园,建筑大学,3室2厅 ,141.13, 南 北 , 其他 ,33, 板楼,0,3,2000000.0,"14,172元/平",VR看装修 
中铁逸都国际 3室2厅 南 北,中铁逸都国际,汉峪,3室2厅 ,132.17, 南 北 , 精装 ,32, 板楼,2,4,2490000.0,"18,840元/平",VR房源 
精装修 中间楼层 采光好 满二 带部分家具家电,中海御山首府,华山,3室2厅 ,103.13, 南 北 , 精装 ,34, 板楼,0,2,1400000.0,"13,576元/平",VR看装修 
此房已经满二年，没有增值税，产权清晰，全明户型,新城香溢紫郡,王舍人,3室2厅 ,98.0, 南 , 精装 ,32, 板楼,0,6,1510000.0,"15,409元/平",VR看装修 
金汇瀚玉城！山景房，9层电梯洋房！平层四室山大瀚阳,金汇瀚玉城,汉峪,4室2厅 ,169.11, 南 北 , 其他 ,9, 板楼,0,3,5400000.0,"31,932元/平",VR看装修 
急售，中间楼层采光好，通风效果好，随时看房,恒大城二期,王舍人,4室2厅 ,171.0, 南 , 精装 ,31, 板楼,0,2,2250000.0,"13,158元/平",近地铁 VR房源 
8层洋房  两室小户型  一体一户 正常首付带车位地下室,银丰唐郡荷花园,唐冶,2室2厅 ,91.23, 南 , 毛坯 ,8, 板楼,1,14,1630000.0,"17,867元/平",VR看装修 随时看房 
好楼层，无遮挡，有钥匙，看房方便，恒大城，地铁三,恒大城二期,王舍人,1室1厅 ,36.57, 北 , 精装 ,30, 板楼,0,6,310000.0,"8,477元/平",近地铁 VR房源 随时看房 
满五，户型好价格合适，花园社区，人车分流，看房方便,锦绣泉城,七里河,2室1厅 ,89.86, 南 , 简装 ,13, 板楼,4,10,1680000.0,"18,696元/平",VR看装修 随时看房 
南北通透 中间楼层 采光充足 经典小三居 交通便利,富翔天地,祝甸,3室2厅 ,106.87, 南 北 , 简装 ,6, 板楼,10, 3个月以前发布,2100000.0,"19,651元/平",近地铁 VR看装修 房本满五年 随时看房 
此房满五年  精装大三室 电梯洋房  带地下室,金色港湾,全福区,3室2厅 ,138.82, 南 北 , 其他 ,12, 板楼,10, 8个月以前发布,1990000.0,"14,336元/平",VR房源 房本满五年 随时看房 
急售！凤凰国际三居室！带车位地下室 采光好！,凤凰国际南区,经十东路,3室2厅 ,132.56, 南 北 , 其他 ,27, 板楼,1, 3个月以前发布,2710000.0,"20,444元/平",VR看装修 房本满两年 随时看房 
中建新悦城精装户型方正离地铁近看房方便,中建新悦城,济钢,3室2厅 ,100.94, 南 , 精装 ,26, 板楼,21, 7个月以前发布,1470000.0,"14,564元/平",近地铁 VR看装修 房本满两年 随时看房 
中国银行宿舍三室改善户型，山大路山大南路闵子骞路,山大南路18-2,山大路,3室2厅 ,111.57, 南 北 , 简装 ,6, 板楼,50, 一年前发布,1880000.0,"16,851元/平",VR看装修 房本满五年 随时看房 
小高层，凤凰层，采光充足，诚心出售,龙湖春江悦茗,唐冶,3室2厅 ,105.0, 南 北 , 毛坯 ,17, 板楼,9, 1个月以前发布,1700000.0,"16,191元/平",VR看装修 房本满两年 随时看房 
有产权车位地下室，看房方便。七层电梯洋房!房龄新,腾骐冠宸花园,祝甸,3室2厅 ,110.49, 南 北 , 简装 ,7, 板楼,9, 1个月以前发布,1990000.0,"18,011元/平",近地铁 VR看装修 房本满两年 随时看房 
锦绣 高层采光好 有23平地下室  两南卧都不遮挡 通透,锦绣泉城,七里河,3室1厅 ,121.96, 南 北 , 精装 ,20, 板楼,135, 一年前发布,2250000.0,"18,449元/平",VR房源 房本满五年 随时看房 
历下区+花园路+电梯洋房+低公摊+南北通透格局好,假日丽景花园小区西区,祝甸,3室2厅 ,108.74, 南 北 , 精装 ,11, 板楼,48, 一年前发布,1919000.0,"17,648元/平",VR看装修 房本满五年 随时看房 
万象新天北二区120平3室2厅2卫户型边户证过两年中装,万象新天北二区,王舍人,3室2厅 ,122.77, 南 北 , 简装 ,24, 板塔结合,7, 4个月以前发布,1670000.0,"13,603元/平",VR看装修 房本满两年 随时看房 
房主诚心出售，两室朝阳，采光好，看房联系我,七里堡北区,祝甸,2室2厅 ,100.0, 南 北 , 其他 ,7, 板楼,2, 1个月以前发布,1350000.0,"13,500元/平",近地铁 VR看装修 房本满五年 随时看房 
117平三室证满2年   没有增值税  房东诚意卖,中海御山首府,华山,3室2厅 ,116.8, 南 北 , 简装 ,29, 板楼,2, 4个月以前发布,1420000.0,"12,158元/平",VR看装修 房本满两年 随时看房 
泉印兰亭 中间楼层 有地下室 物业车位 看房方便 诚心,泉印兰亭,祝甸,2室2厅 ,98.32, 南 北 , 精装 ,7, 板楼,21, 一年前发布,1750000.0,"17,800元/平",近地铁 VR看装修 房本满两年 随时看房 
航运路单位宿舍，2000年的房子，正规小区近红星美凯龙,航运路999,全福区,2室2厅 ,86.39, 南 北 , 其他 ,6, 板楼,2, 2个月以前发布,1200000.0,"13,891元/平",近地铁 VR看装修 房本满五年 随时看房 
保利海德，免高税、两梯两户 精装修  小高层,保利海德公馆,祝甸,3室2厅 ,167.84, 南 北 , 其他 ,18, 板楼,8, 7个月以前发布,3360000.0,"20,020元/平",近地铁 VR看装修 房本满两年 随时看房 
新上三室 南北通透 采光好 有车位  全明户型,新城香溢紫郡,王舍人,3室2厅 ,114.0, 南 北 , 其他 ,14, 板楼,5, 3个月以前发布,1650000.0,"14,474元/平",VR看装修 房本满两年 随时看房 
新城 14层小高 未住过 满两年 看房方便,新城香溢紫郡,王舍人,3室2厅 ,117.55, 南 北 , 其他 ,14, 板楼,79, 一年前发布,1720000.0,"14,633元/平",VR看装修 房本满两年 随时看房 
大三室，中间楼层，一梯两户，免高税，诚心出售,新城香溢紫郡,王舍人,3室1厅 ,113.16, 北 , 精装 ,14, 板楼,9, 4个月以前发布,1850000.0,"16,349元/平",VR看装修 房本满两年 随时看房 
明睿上学【过两年】随时看房，有50平楼台（精装修）,银丰唐郡紫薇园,唐冶,3室1厅 ,110.4, 南 北 , 简装 ,22, 板楼,47, 3个月以前发布,1400000.0,"12,682元/平",VR看装修 房本满两年 随时看房 
汉峪金谷 有钥匙 随时看房 有车位地下室 另算,重汽1956,汉峪,3室1厅 ,142.59, 南 北 , 精装 ,26, 板楼,43, 9个月以前发布,3300000.0,"23,144元/平",VR看装修 房本满两年 随时看房 
济钢新村两室 精装 空置 好楼层 看房方便 诚心卖,济钢新村北区,济钢,2室2厅 ,89.8, 南 北 , 其他 ,6, 板楼,1,7,1220000.0,"13,586元/平",VR看装修 随时看房 
满两年，三室两厅一厨两卫业主诚心出售，价格包含车位,涵玉翠岭,汉峪,3室2厅 ,125.01, 南 北 , 简装 ,27, 板楼,65, 5个月以前发布,2320000.0,"18,559元/平",VR看装修 房本满五年 随时看房 
华龙路新龙家园带南北双露台！诚意出售！,新龙家园,七里河,3室2厅 ,131.24, 南 北 , 简装 ,7, 板楼,13, 8个月以前发布,1650000.0,"12,573元/平",VR房源 房本满五年 随时看房 
万象新天北一区120平三室两卫通透户型证过两年无高税,万象新天北一区,王舍人,3室2厅 ,120.76, 南 北 , 其他 ,32, 板楼,5, 一年前发布,1600000.0,"13,250元/平",VR看装修 房本满五年 随时看房 
毛坯未住，带地下室，有钥匙看房方便   诚心卖,鲁能泰山7号,唐冶,3室2厅 ,111.14, 南 北 , 毛坯 ,22, 板楼,15, 2个月以前发布,1550000.0,"13,947元/平",VR看装修 房本满两年 随时看房 
带车位  小区中间位置   前后观花园   4室2厅2卫户型,龙湖春江悦茗,唐冶,4室2厅 ,139.0, 南 北 , 毛坯 ,18, 板楼,9, 2个月以前发布,2400000.0,"17,267元/平",VR房源 房本满两年 随时看房 
别墅洋房区，低密改善社区，南北通透，精装修好楼层,银丰唐郡玫瑰园,唐冶,3室2厅 ,134.41, 北 南 , 精装 ,11, 板楼,7, 1个月以前发布,2250000.0,"16,740元/平",VR看装修 房本满两年 随时看房 
龙湖春江悦茗 3室2厅 南 北,龙湖春江悦茗,唐冶,3室2厅 ,123.0, 南 北 , 其他 ,18, 板楼,4, 2个月以前发布,2000000.0,"16,261元/平",VR看装修 房本满两年 随时看房 
恒大名都 2室2厅 南,恒大名都,唐冶,2室2厅 ,99.15, 南 , 精装 ,28, 板塔结合,5,4,1200000.0,"12,103元/平",VR看装修 随时看房 
万象新天四区小高层精装好楼层采光好视野好,万象新天四区,王舍人,3室2厅 ,113.24, 南 北 , 精装 ,18, 板楼,0,10,1650000.0,"14,571元/平",VR看装修 随时看房 
此房证满五年唯一，一梯两户，采光充足，视野开阔。,富翔天地,祝甸,4室2厅 ,175.0, 南 北 , 简装 ,6, 板楼,5, 6个月以前发布,2580000.0,"14,743元/平",近地铁 VR房源 房本满五年 随时看房 
七里堡小区南区，有证过2年有储藏室，双气，两室朝阳,七里堡小区南区,祝甸,2室2厅 ,97.57, 南 北 , 简装 ,7, 板楼,5, 一年前发布,1600000.0,"16,399元/平",近地铁 VR看装修 房本满两年 随时看房 
此房满五年 免高税  低楼层 一梯两户 房主诚心卖,富翔天地,祝甸,3室1厅 ,129.88, 南 , 其他 ,7, 板楼,9, 7个月以前发布,2380000.0,"18,325元/平",近地铁 VR看装修 房本满五年 随时看房 
洪楼北 洪苑社区 临R2线 经典三室 三楼 有钥匙 价格低,洪苑小区,祝甸,3室1厅 ,88.46, 南 北 , 简装 ,6, 板楼,75, 一年前发布,1320000.0,"14,922元/平",近地铁 VR看装修 房本满五年 随时看房 
封闭式社区，小区内有幼儿园，健身广场，停车方便,七里堡社区东区,祝甸,3室2厅 ,104.57, 西 北 , 其他 ,7, 板楼,10, 一年前发布,1500000.0,"14,345元/平",VR看装修 房本满五年 随时看房 
精装三室 带一个车位 证满两年 无遮挡 看房随时有钥匙,凤凰国际北区,经十东路,3室2厅 ,141.0, 南 北 , 简装 ,33, 板楼,79, 4个月以前发布,2550000.0,"18,086元/平",VR看装修 房本满两年 随时看房 
绿地隆悦公馆四室落地窗南北通透,绿地隆悦公馆,化纤厂路,4室2厅 ,168.8, 南 北 , 毛坯 ,17, 板楼,121, 一年前发布,3700000.0,"21,920元/平",VR看装修 房本满两年 随时看房 
满两年免高税 价格含车位 万科物业 中楼层采光充足,万科新里程,还乡店,3室2厅 ,106.66, 南 北 , 精装 ,34, 板楼,2, 1个月以前发布,1860000.0,"17,439元/平",近地铁 VR看装修 房本满两年 随时看房 
南向两居室 户型方正 低楼层 带地下室 楼龄新产权清晰,冠华紫御台,全福区,2室2厅 ,94.87, 南 , 毛坯 ,28, 板楼,3, 7个月以前发布,1800000.0,"18,974元/平",近地铁 VR看装修 房本满两年 随时看房 
南北通透大三室、带地下室、看房方便,富翔天地,祝甸,3室2厅 ,135.06, 南 北 , 简装 ,7, 板楼,27, 8个月以前发布,2190000.0,"16,216元/平",近地铁 VR看装修 房本满五年 随时看房 
有证，正常交易。楼层好。 采光好。户型好。,辛甸小区,祝甸,2室1厅 ,76.24, 南 北 , 毛坯 ,5, 板楼,19, 一年前发布,1050000.0,"13,773元/平",近地铁 VR看装修 房本满五年 随时看房 
祝甸+上海花园+低公摊+带地下室+采光好+不沿街,上海花园,祝甸,2室2厅 ,99.94, 南 , 简装 ,6, 板楼,0, 2个月以前发布,1700000.0,"17,011元/平",近地铁 VR房源 房本满五年 随时看房 
富翔电梯精装大三居 满五唯一  采光视野好 公摊小,富翔天地,祝甸,3室2厅 ,135.42, 南 北 , 精装 ,12, 板楼,14, 8个月以前发布,2450000.0,"18,092元/平",VR看装修 房本满五年 随时看房 
精装四室   户型合理   楼层好,万象新天哈佛郡,王舍人,4室2厅 ,141.0, 南 北 , 精装 ,33, 板塔结合,2, 2个月以前发布,1930000.0,"13,688元/平",VR看装修 房本满两年 随时看房 
龙湖春江悦茗 3室2厅 南,龙湖春江悦茗,唐冶,3室2厅 ,137.64, 南 , 其他 ,18, 板楼,3, 1个月以前发布,2300000.0,"16,711元/平",VR房源 房本满两年 随时看房 
诚意出售！复式带露台！满五唯一！小区好停车！！！！,幸福苑,还乡店,3室3厅 ,135.15, 南 北 , 简装 ,7, 板楼,54, 一年前发布,1325000.0,"9,804元/平",VR房源 房本满五年 随时看房 
"铁厂复式，看房方便，随时看房,户型通透",铁骑路49号,康虹路,3室2厅 ,120.19, 南 北 , 其他 ,5, 板楼,5, 5个月以前发布,1490000.0,"12,398元/平",近地铁 VR房源 房本满五年 随时看房 
百花公园南 低楼层  小三居 满五年 带小房 两室朝阳,闵子骞路,洪家楼,3室1厅 ,78.21, 南 北 , 精装 ,5, 板楼,61, 一年前发布,1420000.0,"18,157元/平",VR看装修 房本满五年 随时看房 
此房不吵 带电梯 两室客厅朝阳 采光充足 诚心出售,兴业嘉苑新天地,七里河,3室2厅 ,110.54, 南 北 , 简装 ,12, 板楼,26, 一年前发布,1690000.0,"15,289元/平",VR房源 房本满五年 随时看房 
二院旁 三居室 南北通透 视野开阔 满二 无抵押大阳台,石桥小区,全福区,3室2厅 ,123.05, 南 北 , 精装 ,6, 板楼,3, 8个月以前发布,1440000.0,"11,703元/平",VR看装修 房本满两年 随时看房 
全明户型，四室复式，户型方正。,华信路17-1号,七里河,4室2厅 ,124.33, 南 , 简装 ,6, 板楼,37, 11个月以前发布,1529000.0,"12,298元/平",VR房源 房本满五年 随时看房 
建大花园 带电梯带车位地下室 位置安静全天采光视野好,建大花园,建筑大学,5室2厅 ,180.47, 南 北 , 毛坯 ,11, 板楼,15, 6个月以前发布,4580000.0,"25,379元/平",VR看装修 房本满两年 随时看房 
银丰唐郡玫瑰园 3室1厅 南 北,银丰唐郡玫瑰园,唐冶,3室1厅 ,110.0, 南 北 , 其他 ,11, 板楼,4,6,2400000.0,"21,819元/平",VR看装修 随时看房 
洪家楼德云社旁 小高层电梯洋房，精装有地下室有车位,福润康城,洪家楼,3室2厅 ,118.6, 南 北 , 其他 ,11, 塔楼,4, 6个月以前发布,2160000.0,"18,213元/平",VR看装修 房本满五年 随时看房 
急售，含2车位大地下室，中铁逸都10层洋房，精装四室,中铁逸都国际,汉峪,4室2厅 ,172.71, 南 北 , 精装 ,10, 板楼,18, 2个月以前发布,4130000.0,"23,913元/平",VR房源 房本满两年 随时看房 
历山路，北园大街，山大二院地铁口，标准两室,车站北街,全福区,2室1厅 ,59.99, 南 北 , 简装 ,6, 板楼,165, 一年前发布,700000.0,"11,669元/平",近地铁 VR看装修 房本满五年 随时看房 
万象新天 证满两年 无高税  采光好  店长力荐,万象新天哈佛郡,王舍人,3室2厅 ,94.91, 南 , 简装 ,33, 板塔结合,37, 一年前发布,1350000.0,"14,225元/平",VR看装修 房本满两年 随时看房 
南北通透 中间楼层 采光充足 经典小三居 交通便利,富翔天地,祝甸,3室2厅 ,106.87, 南 北 , 简装 ,6, 板楼,10, 3个月以前发布,2100000.0,"19,651元/平",近地铁 VR看装修 房本满五年 随时看房 
凤凰国际  南北通透三居  诚心卖 看房方便,凤凰国际北区,经十东路,3室2厅 ,126.76, 南 北 , 毛坯 ,33, 板楼,2, 2个月以前发布,2520000.0,"19,881元/平",VR看装修 房本满两年 随时看房 
格局好，楼层好，诚心出售，品质精装，人车分流,锦绣泉城,七里河,3室2厅 ,131.85, 南 北 , 精装 ,12, 板楼,17, 9个月以前发布,2490000.0,"18,886元/平",VR看装修 房本满五年 随时看房 
满五，户型好价格合适，花园社区，人车分流，看房方便,锦绣泉城,七里河,2室1厅 ,89.86, 南 , 简装 ,13, 板楼,4,10,1680000.0,"18,696元/平",VR看装修 随时看房 
荣盛锦绣澜湾，前面无遮挡，采光好两室,荣盛锦绣澜湾,全福区,2室1厅 ,63.43, 南 , 精装 ,32, 板楼,6, 3个月以前发布,1180000.0,"18,604元/平",VR看装修 房本满两年 随时看房 
满五不唯一，小区安静，交通便利，采光好，有储藏室,板桥路11号,全福区,2室1厅 ,70.53, 南 北 , 简装 ,5, 板楼,0, 6个月以前发布,1000000.0,"14,179元/平",VR看装修 房本满五年 随时看房 
两室朝阳 大阳台 公摊少 诚心出售,北全福小区西区,全福区,2室1厅 ,72.02, 南 , 简装 ,5, 板楼,8, 8个月以前发布,970000.0,"13,469元/平",VR看装修 房本满五年 随时看房 
急售 经典两室一厅 工会单位舒适 居住宽敞 舒适安静,桑园路60号,还乡店,2室1厅 ,79.19, 南 , 简装 ,6, 板楼,6, 9个月以前发布,1120000.0,"14,144元/平",VR看装修 房本满五年 随时看房 
急售  幸福苑 双卧朝阳 小两室 高楼层，采光视野好,幸福苑,还乡店,2室1厅 ,55.72, 南 北 , 简装 ,7, 板楼,4, 3个月以前发布,650000.0,"11,666元/平",VR看装修 房本满五年 随时看房 
济钢南建大北 多层两室 好楼层采光好 首付三成,金河山庄,济钢,2室1厅 ,81.47, 南 北 , 精装 ,6, 板楼,25, 一年前发布,1160000.0,"14,239元/平",VR看装修 房本满五年 随时看房 
房产证满两年，免高税，精装房，楼层好,恒大名都,唐冶,3室2厅 ,133.95, 南 北 , 精装 ,32, 板楼,20, 一年前发布,1830000.0,"13,662元/平",VR看装修 房本满五年 随时看房 
大两居  户型方正  采光无遮挡,万象新天北二区,王舍人,2室1厅 ,98.3, 南 北 , 简装 ,32, 板塔结合,0, 一年前发布,1380000.0,"14,039元/平",VR看装修 房本满两年 随时看房 
免高税 宋产权地下室全屋家具家电 绿地城洋房,绿地城,唐冶,4室2厅 ,134.56, 南 北 , 精装 ,11, 板楼,70, 11个月以前发布,2180000.0,"16,201元/平",VR看装修 房本满两年 随时看房 
恒大名都 纯南向大三居 位置好 采光好 观景楼层,恒大名都,唐冶,3室2厅 ,136.42, 南 北 , 精装 ,32, 板楼,20, 一年前发布,1800000.0,"13,195元/平",VR看装修 房本满五年 随时看房 
小区有多班次公交车和BRT路线经过，北边是桑园路,黄台电厂第五宿舍区,还乡店,3室2厅 ,69.98, 南 , 精装 ,5, 板楼,0, 5个月以前发布,1039000.0,"14,848元/平",VR看装修 房本满两年 随时看房 
