中铁汇苑 2室2厅 南,中铁汇苑,奥体中路,2室2厅 ,98.75, 南 , 简装 ,26, 板塔结合,37, 11个月以前发布,2000000.0,"20,254元/平",近地铁 VR看装修 房本满五年 随时看房 
国华精选四居，位置好，精装修+车位+地下室+看房方便,国华印象,齐鲁软件园,4室2厅 ,189.28, 南 北 , 其他 ,17, 板楼,14, 1个月以前发布,4490000.0,"23,722元/平",VR看装修 房本满两年 
汇展香格里拉 1室0厅 南,汇展香格里拉,国际会展中心,1室0厅 ,69.11, 南 , 其他 ,31, 塔楼,5,8,536000.0,"7,756元/平",VR房源 
采光充足+看房方便+拎包入住+婚装房装修,明湖白鹭郡,康虹路,2室2厅 ,88.47, 南 , 精装 ,18, 板楼,24, 7个月以前发布,1560000.0,"17,634元/平",VR房源 房本满两年 
精装修，楼层好，采光视野棒，自住看房相对方便,新东方花园,康虹路,2室2厅 ,104.8, 南 , 精装 ,12, 板楼,5, 11个月以前发布,1850000.0,"17,653元/平",VR看装修 房本满五年 
康虹路+精装修+一梯两户+不靠路不沿街,新东方花园,康虹路,2室2厅 ,107.7, 南 北 , 精装 ,12, 板楼,16, 10个月以前发布,1780000.0,"16,528元/平",VR房源 房本满五年 
万达旁，新生活南区，上下复式，配套成熟，诚心出售,新生活家园南区,国际会展中心,2室1厅 ,53.89, 南 , 其他 ,7, 塔楼,36, 8个月以前发布,1000000.0,"18,557元/平",VR房源 房本满五年 
免高税 自住装修 不沿街 靠谱出售,茗筑美嘉,康虹路,2室2厅 ,103.61, 北 南 , 简装 ,9, 板楼,4, 2个月以前发布,1850000.0,"17,856元/平",VR看装修 房本满五年 
万达三居 户型方正 出行便利 好楼层,万达华府,国际会展中心,3室2厅 ,141.61, 南 北 , 其他 ,30, 板楼,6, 1个月以前发布,3050000.0,"21,539元/平",VR看装修 房本满两年 
康虹路带装修两居室中低楼层采光好,明湖白鹭郡,康虹路,2室1厅 ,89.87, 南 , 精装 ,18, 板楼,9, 5个月以前发布,1600000.0,"17,804元/平",VR看装修 房本满五年 
汉峪金谷，奥体旁，近经十，万科物业，交通便利,万科金域国际,齐鲁软件园,3室2厅 ,131.74, 南 北 , 其他 ,28, 板楼,2, 8个月以前发布,3200000.0,"24,291元/平",VR看装修 房本满五年 
精装两室，新风系统，高楼层采光好,中海天悦府,齐鲁软件园,2室1厅 ,90.11, 南 北 , 精装 ,32, 板楼,29, 7个月以前发布,1860000.0,"20,642元/平",VR看装修 房本满五年 
未来城 两室 户型方正未来城 两室,未来城,国际会展中心,2室1厅 ,89.97, 南 , 其他 ,27, 板楼,43, 10个月以前发布,1450000.0,"16,117元/平",VR看装修 房本满五年 
未来城南向公寓，交通方便，生活方便,未来城,国际会展中心,1室0厅 ,47.87, 南 , 其他 ,17, 塔楼,5, 4个月以前发布,430000.0,"8,983元/平",VR房源 房本满两年 
高新万达旁 精装修  拎包入住  电梯入户 满5年税费少,新生活家园南区,国际会展中心,2室2厅 ,84.5, 东 北 , 精装 ,28, 塔楼,232, 一年前发布,1300000.0,"15,385元/平",VR看装修 房本满五年 
高新万达旁 高楼层 正规两居室 视野开阔 采光好,水晶东座,世纪大道,2室2厅 ,87.32, 南 北 , 简装 ,17, 板楼,16, 2个月以前发布,1250000.0,"14,316元/平",VR看装修 房本满五年 
万科麓城三室的房子卖了  诚心卖 价格的话能商量,万科麓城,齐鲁软件园,3室1厅 ,96.27, 南 , 其他 ,32, 板楼,10, 7个月以前发布,2260000.0,"23,476元/平",VR看装修 房本满两年 
正规三室两厅两卫 户型方正 业主诚心出售 带车位,龙园,齐鲁软件园,3室2厅 ,126.5, 南 北 , 简装 ,22, 板楼,22, 9个月以前发布,2410000.0,"19,052元/平",VR看装修 房本满五年 
明湖白鹭郡 低楼层 户型方正 随时看房 价格可议,明湖白鹭郡,康虹路,2室2厅 ,79.35, 南 北 , 精装 ,25, 板楼,9, 5个月以前发布,1320000.0,"16,636元/平",VR房源 房本满两年 
小鸭集团宿舍总高6层，1楼能开门，没有物业费免费停车,小鸭集团宿舍,世纪大道,2室2厅 ,80.85, 南 北 , 其他 ,6, 板楼,2, 4个月以前发布,1230000.0,"15,214元/平",VR看装修 房本满五年 
天业龙奥天街 1室1厅 南,天业龙奥天街,汉峪,1室1厅 ,55.0, 南 , 其他 ,31, 塔楼,0,2,650000.0,"11,819元/平",VR房源 
楼层好、业主诚心出售、万达 户型、采光,万达华府,国际会展中心,3室1厅 ,142.87, 南 北 , 其他 ,32, 板楼,18, 3个月以前发布,2520000.0,"17,639元/平",VR看装修 房本满两年 
精装三居室 业主自住一梯两户 保持的不错,黄金时代,齐鲁软件园,4室2厅 ,147.88, 南 北 , 其他 ,7, 板塔结合,7, 3个月以前发布,3400000.0,"22,992元/平",VR看装修 房本满五年 
此房满二年，免增值税，自主，业主诚意出售,雅居园小区,齐鲁软件园,3室2厅 ,102.74, 南 北 , 其他 ,18, 板塔结合,14, 7个月以前发布,1870000.0,"18,202元/平",VR看装修 房本满两年 
高新万达会展西路香格里拉三居室,汇展香格里拉,国际会展中心,3室1厅 ,92.3, 南 , 精装 ,27, 塔楼,36, 11个月以前发布,1070000.0,"11,593元/平",VR房源 房本满五年 
此房满五年，无高税，业主诚心出售，看房方便,雅居园小区,齐鲁软件园,3室2厅 ,117.38, 南 北 , 其他 ,6, 板楼,6, 5个月以前发布,2600000.0,"22,151元/平",VR看装修 房本满五年 
此房已经满二年+车位地下室+全屋家具家电,国华印象,齐鲁软件园,3室2厅 ,149.41, 南 北 , 其他 ,25, 板楼,12, 3个月以前发布,3700000.0,"24,765元/平",VR看装修 房本满五年 
海信慧园东区 2室2厅 南,海信慧园东区,康虹路,2室2厅 ,95.28, 南 , 其他 ,26, 板楼,4,15,1700000.0,"17,843元/平",VR房源 
海信慧园东区 2室2厅 南,海信慧园东区,康虹路,2室2厅 ,92.62, 南 , 其他 ,18, 板楼,3,14,1650000.0,"17,815元/平",VR房源 
奥体对过 万科品质小区 全明小三房 诚意出售 价格合适,万科麓山,齐鲁软件园,3室2厅 ,96.36, 南 北 , 精装 ,34, 板楼,35, 4个月以前发布,2450000.0,"25,426元/平",VR看装修 房本满两年 
经十路北奥体浪潮旁小区楼层采光好公摊小享万科物业,万科金域国际,齐鲁软件园,2室1厅 ,81.61, 南 北 , 其他 ,30, 板楼,4, 3个月以前发布,1800000.0,"22,057元/平",VR看装修 房本满五年 
高新万达北 茗筑美嘉 小高层通透精装三居 花园式社区,茗筑美嘉,康虹路,3室1厅 ,118.34, 南 北 , 精装 ,19, 板楼,92, 一年前发布,2250000.0,"19,014元/平",VR房源 房本满两年 
精装修，新房，房产证满二楼层好,万科麓城,齐鲁软件园,3室2厅 ,139.46, 南 北 , 其他 ,18, 板楼,1,11,3550000.0,"25,456元/平",VR看装修 
凤凰路旁  简装两居  高楼层采光好  视野好  看房预约,祥泰新河湾,康虹路,2室2厅 ,83.12, 南 , 简装 ,31, 板楼,4, 1个月以前发布,1370000.0,"16,483元/平",近地铁 VR看装修 房本满两年 
一套舒欣的房源，万科精装房，诚心出售价格可议。,万科麓山,齐鲁软件园,3室2厅 ,95.24, 南 , 精装 ,27, 板楼,50, 7个月以前发布,2400000.0,"25,200元/平",VR看装修 房本满两年 
低密度花园洋房，11层洋房，公摊小，,新生活家园北区,康虹路,3室2厅 ,118.53, 南 北 , 其他 ,11, 板楼,34, 一年前发布,2200000.0,"18,561元/平",VR看装修 房本满五年 
满五唯一！楼间距大！有地下室！精装修二室！茗筑美嘉,茗筑美嘉,康虹路,2室2厅 ,86.97, 南 , 精装 ,19, 板楼,3,12,1480000.0,"17,018元/平",VR看装修 
房子南北通透 证满五年 小高层 一梯两户 房主诚意出售,新东方花园,康虹路,2室1厅 ,107.19, 南 北 , 其他 ,12, 板楼,12, 1个月以前发布,1780000.0,"16,607元/平",VR房源 房本满五年 
经十路旁  精装大四居  四面宽  有车位地下室,国华印象,齐鲁软件园,4室2厅 ,178.74, 南 北 , 精装 ,24, 板楼,15, 2个月以前发布,4250000.0,"23,778元/平",VR看装修 房本满两年 
新上架！视野宽阔！采光充足！屋况好！沿地铁奥体龙奥,万科麓山,齐鲁软件园,3室2厅 ,143.0, 南 北 , 精装 ,18, 板楼,6, 2个月以前发布,3990000.0,"27,903元/平",VR看装修 房本满两年 
山钢新天地、证满2年、视野采光无遮挡、看房方便,山钢新天地,奥体中路,2室1厅 ,92.52, 南 北 , 其他 ,18, 板楼,11, 3个月以前发布,2020000.0,"21,834元/平",VR看装修 房本满两年 
高新万达北 茗筑美嘉 小高层通透精装三居 花园式社区,茗筑美嘉,康虹路,3室1厅 ,118.34, 南 北 , 精装 ,19, 板楼,92, 一年前发布,2250000.0,"19,014元/平",VR房源 房本满两年 
精装修，新房，房产证满二楼层好,万科麓城,齐鲁软件园,3室2厅 ,139.46, 南 北 , 其他 ,18, 板楼,1,11,3550000.0,"25,456元/平",VR看装修 
一套舒欣的房源，万科精装房，诚心出售价格可议。,万科麓山,齐鲁软件园,3室2厅 ,95.24, 南 , 精装 ,27, 板楼,50, 7个月以前发布,2400000.0,"25,200元/平",VR看装修 房本满两年 
凤凰路旁  简装两居  高楼层采光好  视野好  看房预约,祥泰新河湾,康虹路,2室2厅 ,83.12, 南 , 简装 ,31, 板楼,4, 1个月以前发布,1370000.0,"16,483元/平",近地铁 VR看装修 房本满两年 
山师中垠雅苑+精装三居+满二+看房方便,中垠雅苑,齐鲁软件园,3室2厅 ,130.69, 南 北 , 其他 ,18, 板塔结合,2, 1个月以前发布,3500000.0,"26,781元/平",VR看装修 房本满两年 
CBD浪潮旁！万科2次精装南北通透3室！采光好！价可谈,万科麓山,齐鲁软件园,3室2厅 ,97.42, 南 北 , 其他 ,27, 板楼,11, 2个月以前发布,2650000.0,"27,202元/平",VR看装修 房本满两年 
有证满两年 全明户型 通透户型 精装修，位置好,中海奥龙觀邸,汉峪,3室2厅 ,136.0, 南 北 , 其他 ,28, 板楼,0,6,3800000.0,"27,942元/平",VR房源 
新河湾北区两室出售，碧桂园物业，诚心卖,祥泰新河湾,康虹路,2室2厅 ,79.67, 南 , 简装 ,34, 板楼,11, 3个月以前发布,1320000.0,"16,569元/平",VR看装修 房本满两年 
龙湖奥东11号 1室1厅 北,龙湖奥东11号,汉峪,1室1厅 ,33.0, 北 , 其他 ,32, 塔楼,0,4,480000.0,"14,546元/平",VR房源 
经十路+奥体旁+万科物业+配套好+背靠山区,万科麓山,齐鲁软件园,3室2厅 ,142.26, 南 北 , 精装 ,18, 板楼,11, 7个月以前发布,4350000.0,"30,578元/平",VR看装修 房本满两年 
万科麓山 3室2厅 南 北,万科麓山,齐鲁软件园,3室2厅 ,121.0, 南 北 , 其他 ,33, 板楼,1,7,3550000.0,"29,339元/平",VR房源 
浪潮汉峪金谷！奥体精装万科麓山车位地下室,万科麓山,齐鲁软件园,3室2厅 ,143.0, 南 北 , 精装 ,18, 板楼,1,11,4100000.0,"28,672元/平",VR看装修 
总价低，正常住宅 可出租       .,黄金时代,齐鲁软件园,4室1厅 ,68.7, 南 北 , 毛坯 ,7, 板楼,13, 8个月以前发布,940000.0,"13,683元/平",VR房源 随时看房 
大户型 紧挨万达、丁豪、 购物方便 交通便利,鑫苑国际城市花园,国际会展中心,3室2厅 ,114.24, 南 北 , 其他 ,27, 塔楼,2, 3个月以前发布,2000000.0,"17,508元/平",VR看装修 随时看房 
精装修  带全套实木家具  家电全留下 带车位地下室,国华印象,齐鲁软件园,4室2厅 ,187.0, 南 北 , 精装 ,23, 板楼,9, 一年前发布,5200000.0,"27,808元/平",VR看装修 随时看房 
此房源满两年，带地下室，看房子随时。,未来城,国际会展中心,3室2厅 ,140.44, 南 北 , 毛坯 ,22, 塔楼,51, 一年前发布,2150000.0,"15,310元/平",VR看装修 随时看房 
南北通透格局，小区环境优美，光照时间充足。,中海奥龙觀邸,汉峪,3室2厅 ,136.0, 南 北 , 其他 ,26, 板楼,6, 4个月以前发布,3600000.0,"26,471元/平",VR看装修 随时看房 
未来城精装修三室，楼层好户型好，房主诚心出售,未来城,国际会展中心,3室2厅 ,133.07, 南 北 , 简装 ,22, 塔楼,11, 一年前发布,2320000.0,"17,435元/平",VR房源 随时看房 
总价低，单价低，两面朝阳，南北通透，诚意卖 价可谈,新东方花园,康虹路,2室2厅 ,118.0, 南 北 , 简装 ,12, 板楼,46, 3个月以前发布,1680000.0,"14,238元/平",VR房源 随时看房 
挑高的客厅和平台利用面积大，居住使用舒适性很高,丰奥嘉园南区,奥体中路,4室2厅 ,166.41, 南 北 , 毛坯 ,11, 板楼,73, 8个月以前发布,3800000.0,"22,836元/平",近地铁 VR房源 随时看房 
带车位地下室 小洋房 一梯两户靠山环境棒,晨曦嘉园,汉峪,4室2厅 ,190.0, 南 , 其他 ,8, 板楼,5, 5个月以前发布,7000000.0,"36,843元/平",VR看装修 随时看房 
新生活家园北区，总高11层，采光充足，看房方便。,新生活家园北区,康虹路,3室2厅 ,140.0, 南 , 简装 ,11, 板楼,4, 1个月以前发布,2310000.0,"16,500元/平",VR房源 随时看房 
新出好房 带车位  龙奥东 奥龙观邸精装通透三室,中海奥龙觀邸,汉峪,3室2厅 ,136.65, 南 北 , 其他 ,24, 板楼,1, 1个月以前发布,3450000.0,"25,247元/平",VR看装修 随时看房 
新生活+小高层+公摊小+外国语+一梯两,新生活家园北区,康虹路,3室1厅 ,143.57, 南 , 毛坯 ,11, 板楼,6, 一年前发布,2900000.0,"20,200元/平",VR房源 随时看房 
软件园一楼带院200平看房方便诚心出售,国华印象,齐鲁软件园,4室2厅 ,174.71, 南 北 , 其他 ,24, 板楼,49, 5个月以前发布,4300000.0,"24,613元/平",VR房源 随时看房 
鑫苑国际城市花园 1室1厅 北,鑫苑国际城市花园,国际会展中心,1室1厅 ,41.0, 北 , 精装 ,18, 塔楼,1,13,360000.0,"8,781元/平",VR房源 
万达华府 2室2厅 南 北,万达华府,国际会展中心,2室2厅 ,98.0, 南 北 , 简装 ,28, 板楼,1,14,1800000.0,"18,368元/平",VR看装修 
高新复式公寓 地铁 有储藏室 品质精装,凤凰SOHO,康虹路,1室1厅 ,40.35, 东 , 精装 ,22, 塔楼,1,11,500000.0,"12,392元/平",VR房源 
此房满五年，免增值税，南向，采光充足,黄金时代,齐鲁软件园,1室1厅 ,92.97, 南 , 精装 ,7, 板塔结合,8, 一年前发布,1350000.0,"14,521元/平",VR看装修 房本满五年 
三成首付   南向 采光好 有双气,汇展香格里拉,国际会展中心,1室0厅 ,65.48, 南 , 精装 ,31, 塔楼,13, 一年前发布,560000.0,"8,553元/平",VR房源 房本满五年 
万科麓山 3室2厅 南 北,万科麓山,齐鲁软件园,3室2厅 ,121.0, 南 北 , 其他 ,33, 板楼,1,7,3550000.0,"29,339元/平",VR房源 
经十路+奥体旁+万科物业+配套好+背靠山区,万科麓山,齐鲁软件园,3室2厅 ,142.26, 南 北 , 精装 ,18, 板楼,11, 7个月以前发布,4350000.0,"30,578元/平",VR看装修 房本满两年 
有证满两年 全明户型 通透户型 精装修，位置好,中海奥龙觀邸,汉峪,3室2厅 ,136.0, 南 北 , 其他 ,28, 板楼,0,6,3800000.0,"27,942元/平",VR房源 
万达旁 楼层好 精装南向 配套齐全 交通便利,汇展香格里拉,国际会展中心,1室1厅 ,70.2, 南 , 其他 ,31, 塔楼,12, 一年前发布,650000.0,"9,260元/平",VR房源 房本满两年 
此房带电梯，已经满二。中间楼层业主诚心出售,明湖白鹭郡,康虹路,2室1厅 ,92.46, 南 北 , 其他 ,18, 板楼,9, 8个月以前发布,1750000.0,"18,928元/平",VR房源 房本满两年 
国华印象两居室，带车位11平地下室，地暖，楼层好,国华印象,齐鲁软件园,2室2厅 ,100.12, 南 , 精装 ,26, 板楼,94, 一年前发布,2070000.0,"20,676元/平",VR看装修 房本满两年 
万达商圈+满五唯一+精装自住+中间楼层+拎包入住,新生活家园南区,国际会展中心,3室1厅 ,117.81, 南 北 , 其他 ,28, 塔楼,17, 10个月以前发布,1990000.0,"16,892元/平",VR看装修 房本满五年 
南北通透 少见户型 小高层采光好  业主诚心出售,海信慧园一区,康虹路,2室2厅 ,93.28, 南 北 , 其他 ,18, 板楼,4,14,1900000.0,"20,369元/平",VR看装修 
满二，南北通透，采光好+精装修+地下室+看房方便,中铁汇苑,奥体中路,3室2厅 ,142.29, 南 北 , 简装 ,29, 板塔结合,17, 2个月以前发布,3650000.0,"25,652元/平",近地铁 VR看装修 房本满五年 
精装全明三室，小区环境优美，光照时间充足,中海奥龙觀邸,汉峪,3室2厅 ,114.1, 南 , 简装 ,28, 板楼,2, 2个月以前发布,2690000.0,"23,576元/平",VR看装修 房本满两年 
金域国际浪潮旁精装修三室有地下室采光好业主诚心卖,万科金域国际,齐鲁软件园,3室2厅 ,131.74, 南 北 , 精装 ,28, 板楼,4, 3个月以前发布,3000000.0,"22,773元/平",VR看装修 房本满五年 
精装修 两室朝南 有车位地下室 诚心卖,明湖白鹭郡,康虹路,2室2厅 ,89.98, 南 , 精装 ,17, 板楼,23, 4个月以前发布,1510000.0,"16,782元/平",VR房源 房本满五年 
万达旁 理想新城 价格合适 诚意出售,理想新城,世纪大道,1室1厅 ,80.03, 南 , 其他 ,24, 塔楼,0,6,600000.0,"7,498元/平",VR房源 
海信慧园一区 2室2厅 南,海信慧园一区,康虹路,2室2厅 ,88.57, 南 , 其他 ,28, 板楼,2, 1个月以前发布,1680000.0,"18,969元/平",VR房源 房本满五年 
国华印象大三居 小高层 楼层好 带地下室 两个车位另算,国华印象,齐鲁软件园,3室2厅 ,158.0, 南 北 , 其他 ,18, 板楼,3,9,3800000.0,"24,051元/平",VR看装修 
三庆齐盛广场 1室1厅 东南,三庆齐盛广场,齐鲁软件园,1室1厅 ,44.82, 东南 , 其他 ,29, 塔楼,0,1,500000.0,"11,156元/平",VR房源 
新生活南区+带车位+随时看+价格可聊+诚心出售,新生活家园南区,国际会展中心,2室1厅 ,74.18, 东 , 简装 ,28, 塔楼,41, 一年前发布,1280000.0,"17,256元/平",VR看装修 房本满五年 
黄金时代 3室2厅 南 北,黄金时代,齐鲁软件园,3室2厅 ,153.89, 南 北 , 精装 ,11, 板楼,27, 8个月以前发布,3290000.0,"21,379元/平",VR房源 房本满五年 
此房满两年 正规户型 精装修 看房方便 诚意出售,新生活家园北区,康虹路,4室2厅 ,166.3, 南 , 其他 ,11, 板楼,19, 6个月以前发布,3150000.0,"18,942元/平",VR看装修 房本满五年 
此房满两年 正规户型 精装修 看房方便 诚意出售,新生活家园北区,康虹路,2室2厅 ,98.16, 南 , 其他 ,28, 塔楼,8, 2个月以前发布,1550000.0,"15,791元/平",VR看装修 房本满五年 
楼层好+业主诚心出售+离小区门口近+出行方便,新生活家园北区,康虹路,2室1厅 ,98.29, 南 北 , 其他 ,28, 塔楼,3, 2个月以前发布,1550000.0,"15,770元/平",VR看装修 房本满五年 
会展商圈、茗筑美嘉、满五唯一、无户口、视野开阔,茗筑美嘉,康虹路,2室2厅 ,95.48, 南 北 , 精装 ,24, 板楼,2, 2个月以前发布,1660000.0,"17,386元/平",VR看装修 房本满五年 
万科尊享系装修 带美好家升级装修  诚心售卖 看房方便,万科麓城,齐鲁软件园,3室2厅 ,96.27, 南 , 精装 ,32, 板楼,29, 7个月以前发布,2260000.0,"23,476元/平",VR看装修 房本满两年 
2014年新房，低层精装，带车位，带车位。,茗筑美嘉,康虹路,2室1厅 ,97.24, 南 北 , 简装 ,24, 板楼,37, 7个月以前发布,1650000.0,"16,969元/平",VR看装修 房本满五年 
经十路旁  精装大四居  四面宽  有车位地下室,国华印象,齐鲁软件园,4室2厅 ,178.74, 南 北 , 精装 ,24, 板楼,15, 2个月以前发布,4250000.0,"23,778元/平",VR看装修 房本满两年 
丰奥嘉园北区 3室2厅 南 北,丰奥嘉园北区,奥体中路,3室2厅 ,149.48, 南 北 , 精装 ,32, 板楼,25, 3个月以前发布,2650000.0,"17,729元/平",VR看装修 房本满两年 
此房两室一厅朝阳 楼层好 采光无影响中午太阳照射全屋,中铁汇苑,奥体中路,2室2厅 ,98.91, 南 北 , 简装 ,24, 板塔结合,34, 一年前发布,2120000.0,"21,434元/平",近地铁 VR看装修 房本满五年 
新上架！视野宽阔！采光充足！屋况好！沿地铁奥体龙奥,万科麓山,齐鲁软件园,3室2厅 ,143.0, 南 北 , 精装 ,18, 板楼,6, 2个月以前发布,3990000.0,"27,903元/平",VR看装修 房本满两年 
山钢新天地、证满2年、视野采光无遮挡、看房方便,山钢新天地,奥体中路,2室1厅 ,92.52, 南 北 , 其他 ,18, 板楼,11, 3个月以前发布,2020000.0,"21,834元/平",VR看装修 房本满两年 
山师中垠雅苑+精装三居+满二+看房方便,中垠雅苑,齐鲁软件园,3室2厅 ,130.69, 南 北 , 其他 ,18, 板塔结合,2, 1个月以前发布,3500000.0,"26,781元/平",VR看装修 房本满两年 
南北通透  楼层好  视野宽阔  公摊小 交通方便,茗筑美嘉,康虹路,2室1厅 ,95.41, 南 北 , 其他 ,19, 板楼,28, 一年前发布,1700000.0,"17,818元/平",VR房源 房本满五年 
国华印象大四居室 精装修 三室朝阳,国华印象,齐鲁软件园,4室2厅 ,186.0, 南 北 , 其他 ,23, 板楼,1,16,4600000.0,"24,732元/平",VR看装修 
位置俱佳，大楼间距，精装自住，有产权车位地下室,明湖白鹭郡,康虹路,2室1厅 ,78.02, 南 , 其他 ,18, 板楼,12, 1个月以前发布,1450000.0,"18,585元/平",VR房源 房本满两年 
万达精装三居  户型方正  出行便利 证满两年,万达华府,国际会展中心,3室2厅 ,142.87, 南 北 , 精装 ,32, 板楼,0, 2个月以前发布,3300000.0,"23,098元/平",VR看装修 房本满两年 
高新万达旁，南北通透三居室，居家装修，业主诚售,鑫苑国际城市花园,国际会展中心,3室2厅 ,114.24, 南 北 , 简装 ,27, 塔楼,41, 7个月以前发布,1800000.0,"15,757元/平",VR看装修 房本满五年 
奥体球馆 有地铁 万科物业 低楼层适合老人,万科金域国际,齐鲁软件园,3室2厅 ,155.75, 南 北 , 精装 ,28, 板楼,11, 8个月以前发布,3850000.0,"24,720元/平",VR看装修 房本满五年 
齐鲁软件园旁；山师雅居园，依山而建环境优美,雅居园小区,齐鲁软件园,3室2厅 ,111.63, 南 北 , 其他 ,6, 板楼,9, 4个月以前发布,2450000.0,"21,948元/平",VR看装修 房本满五年 
汇展香格里拉 1室1厅 南 北,汇展香格里拉,国际会展中心,1室1厅 ,66.67, 南 北 , 其他 ,31, 塔楼,0,4,540000.0,"8,100元/平",VR房源 
汉峪金谷！龙奥大厦！东城逸家！经典小三室,中海奥龙觀邸,汉峪,3室2厅 ,114.0, 南 , 精装 ,22, 板楼,6,14,2830000.0,"24,825元/平",VR房源 
万达商圈，交通方便，生活方便。,未来城,国际会展中心,1室0厅 ,53.35, 南 , 其他 ,18, 塔楼,12, 10个月以前发布,470000.0,"8,810元/平",VR房源 房本满五年 
中铁汇苑 2室2厅 南 北,中铁汇苑,奥体中路,2室2厅 ,97.86, 南 北 , 其他 ,26, 板塔结合,2,11,2200000.0,"22,482元/平",VR房源 
经典户型，正规大两室 户型方正,丰奥嘉园北区,奥体中路,2室2厅 ,100.47, 南 北 , 精装 ,24, 板楼,14, 11个月以前发布,1850000.0,"18,414元/平",近地铁 VR看装修 房本满五年 
丰奥嘉园南区 2室2厅 南 北,丰奥嘉园南区,奥体中路,2室2厅 ,101.05, 南 北 , 其他 ,21, 板楼,8, 1个月以前发布,1800000.0,"17,813元/平",近地铁 VR看装修 房本满五年 
地铁口 证满五年 车位地下室齐全  采光好 户型方正,丰奥嘉园北区,奥体中路,2室2厅 ,100.23, 南 , 简装 ,23, 板楼,4, 9个月以前发布,1850000.0,"18,458元/平",近地铁 VR看装修 房本满两年 
房子满五唯一，单位宿舍大院，交通方便,电子机械学校宿舍,奥体中路,2室2厅 ,95.71, 南 北 , 简装 ,6, 板楼,19, 一年前发布,1900000.0,"19,852元/平",近地铁 VR看装修 房本满五年 
贤文世家南区  简装三居  满两年  有地下室  诚意出售,海信贤文世家,奥体中路,3室2厅 ,109.64, 南 北 , 简装 ,29, 板楼,17, 6个月以前发布,2550000.0,"23,258元/平",近地铁 VR看装修 房本满两年 
此房满二，免增值税。自住，诚意出售，看房方便,雅居园小区,齐鲁软件园,3室1厅 ,138.22, 南 北 , 其他 ,11, 塔楼,19, 3个月以前发布,2880000.0,"20,837元/平",VR看装修 房本满两年 
软件园大两居 切换三居 全明设计 装修房,雅居园小区,齐鲁软件园,3室2厅 ,94.79, 西北 , 简装 ,18, 板塔结合,5, 一年前发布,1850000.0,"19,517元/平",VR看装修 房本满五年 
凤凰路旁  精装三室  满五唯一  带车位  7楼,龙园,齐鲁软件园,3室2厅 ,126.5, 南 北 , 精装 ,22, 板楼,10, 2个月以前发布,2430000.0,"19,210元/平",VR看装修 房本满五年 
丰奥嘉园南区  精装三居室  带车位地下室,丰奥嘉园南区,奥体中路,3室2厅 ,148.72, 南 , 精装 ,21, 板楼,15, 5个月以前发布,3150000.0,"21,181元/平",近地铁 VR看装修 房本满五年 
鑫苑国际中间楼层诚意出售、带地上车位、满五唯一,鑫苑国际城市花园,国际会展中心,2室2厅 ,76.95, 南 , 精装 ,18, 板楼,12, 5个月以前发布,1450000.0,"18,844元/平",VR房源 房本满五年 
高新万达 精装修 露台20平面积  阁楼面价40平,茗筑美嘉,康虹路,2室1厅 ,73.53, 南 北 , 精装 ,7, 板楼,37, 7个月以前发布,1380000.0,"18,768元/平",VR看装修 房本满五年 
齐鲁软家园大四居  满五年  带地下室   业主诚售,黄金时代,齐鲁软件园,4室2厅 ,183.53, 南 北 , 其他 ,6, 板塔结合,22, 2个月以前发布,3350000.0,"18,254元/平",VR看装修 房本满五年 
齐鲁软家园精装电梯顶复  满五唯一  带地下室阳光房,黄金时代,齐鲁软件园,4室2厅 ,175.14, 南 北 , 精装 ,11, 板楼,15, 3个月以前发布,3450000.0,"19,699元/平",VR房源 房本满五年 
全屋精装 带车位地下室 业主诚心出售 不在济南发展,未来城,国际会展中心,3室2厅 ,134.7, 南 北 , 其他 ,22, 板塔结合,6,15,2400000.0,"17,818元/平",VR看装修 
万达旁精装三室 证满五年 带地下室 位置好 采光无遮挡,鑫苑国际城市花园,国际会展中心,3室2厅 ,95.09, 南 北 , 精装 ,18, 板楼,14, 3个月以前发布,1690000.0,"17,773元/平",VR看装修 房本满五年 
此房源满五年不唯一，带地下室，业主诚售。,雅居园小区,齐鲁软件园,3室2厅 ,138.56, 南 北 , 其他 ,12, 板塔结合,5, 8个月以前发布,3200000.0,"23,095元/平",VR看装修 房本满五年 
雅居园顶复式  满五年  带地下室  业主诚售,雅居园小区,齐鲁软件园,4室3厅 ,163.06, 南 北 , 精装 ,6, 板楼,30, 10个月以前发布,2800000.0,"17,172元/平",VR房源 房本满五年 
精装两室，新风系统，高楼层采光好,中海天悦府,齐鲁软件园,2室1厅 ,90.11, 南 北 , 精装 ,32, 板楼,29, 7个月以前发布,1860000.0,"20,642元/平",VR看装修 房本满五年 
雅居园大两室，户型方正，采光足，满五唯一,雅居园小区,齐鲁软件园,2室2厅 ,95.74, 南 , 简装 ,18, 塔楼,13, 一年前发布,1950000.0,"20,368元/平",VR看装修 房本满五年 
楼层好，位置优越，交通便利，看房方便 价格可小刀,凤凰SOHO,康虹路,1室1厅 ,38.2, 南 , 毛坯 ,19, 塔楼,2, 1个月以前发布,500000.0,"13,090元/平",VR房源 房本满两年 
齐鲁软件园  精装修两室  采光好  位置佳,雅居园小区,齐鲁软件园,2室2厅 ,97.0, 南 北 , 精装 ,6, 板楼,2, 3个月以前发布,2160000.0,"22,269元/平",VR房源 房本满五年 
